sp,InArtsData,InFourthData,change,newNameForArt
Anthocharis stella,yes,no,no,Anthocharis stella
Lycaeides idas anna,yes,no,no,Lycaeides idas anna
Polygonia zephyrus,yes,no,no,Polygonia zephyrus
Adelpha bredowii californica,yes,no,yes,Adelpha bredowii
Agriades podarce,yes,no,yes,Agriades glandon
Callophrys sheridanii lemberti,yes,no,yes,Callophrys sheridanii
Celastrina ladon echo,yes,no,yes,Celastrina ladon
Cercyonis pegala boopis,yes,no,yes,Cercyonis pegala
Cercyonis sthenele silvestris,yes,no,yes,Cercyonis sthenele
Colias philodice (eriphyle),yes,no,yes,Colias philodice
Hesperia colorado,yes,no,yes,Hesperia comma
Incisalia augustinus iroides,yes,no,yes,Callophrys augustinus
Incisalia eryphon,yes,no,yes,Callophrys eryphon
Incisalia mossii,yes,no,yes,Callophrys mossii
Lycaeides melissa melissa,yes,no,yes,Lycaeides melissa
Mitoura gryneus,yes,no,yes,Callophrys gryneus
Oeneis chryxus ivallda,yes,no,yes,Oeneis chryxus
Papilio multicaudatus,yes,no,yes,Papilio multicaudata
Phyciodes orseis herlani,yes,no,yes,Phyciodes orseis
Satyrium fuliginosum fuliginosum,yes,no,yes,Satyrium fuliginosa
Speyeria atlantis irene,yes,no,yes,Speyeria atlantis
Speyeria cybele leto,yes,no,yes,Speyeria cybele
Thessalia leanira,yes,no,yes,Chlosyne leanira
Thorybes mexicana nevada,yes,no,yes,Thorybes mexicanus
Zerene eurydice,yes,no,yes,Colias eurydice
