year,species,counts,effort,effort_scaled_counts
1985,Apodemia mormo,1,44,0.022727272727272728
1985,Cercyonis oetus,1,44,0.022727272727272728
1985,Chlosyne acastus,1,44,0.022727272727272728
1985,Danaus plexippus,1,44,0.022727272727272728
1985,Epargyreus clarus,1,44,0.022727272727272728
1985,Limenitis bredowii,1,44,0.022727272727272728
1985,Papilio multicaudata,1,44,0.022727272727272728
1985,Papilio zelicaon,1,44,0.022727272727272728
1985,Pontia beckerii,1,44,0.022727272727272728
1985,Thorybes pylades,1,44,0.022727272727272728
1986,Aglais milberti,1,27,0.037037037037037035
1986,Anthocharis sara,1,27,0.037037037037037035
1986,Chlosyne californica,1,27,0.037037037037037035
1986,Euchloe hyantis,1,27,0.037037037037037035
1986,Lycaena editha,1,27,0.037037037037037035
1986,Lycaena rubidus,1,27,0.037037037037037035
1986,Mitoura gryneus,1,27,0.037037037037037035
1986,Nymphalis antiopa,1,27,0.037037037037037035
1986,Satyrium behrii,1,27,0.037037037037037035
1986,Vanessa cardui,1,27,0.037037037037037035
1987,Anthocharis cethura,1,48,0.020833333333333332
1987,Apodemia mormo,1,48,0.020833333333333332
1987,Danaus plexippus,1,48,0.020833333333333332
1987,Papilio indra,1,48,0.020833333333333332
1988,Limenitis bredowii,1,35,0.02857142857142857
1989,Papilio machaon,1,30,0.03333333333333333
1992,Clossiana helena,1,30,0.03333333333333333
1992,Limenitis bredowii,1,30,0.03333333333333333
1992,Lycaena dorcas,1,30,0.03333333333333333
1992,Plebejus maricopa,1,30,0.03333333333333333
1992,Speyeria egleis,1,30,0.03333333333333333
1992,Speyeria mormonia,1,30,0.03333333333333333
1993,Anthocharis cethura,1,49,0.02040816326530612
1994,Chlosyne acastus,2,42,0.047619047619047616
1994,Coenonympha tullia,1,42,0.023809523809523808
1995,Anthocharis julia,2,45,0.044444444444444446
1995,Cercyonis pegala,2,45,0.044444444444444446
1995,Neophasia menapia,1,45,0.022222222222222223
1996,Colias alexandra,1,46,0.021739130434782608
1996,Epargyreus clarus,2,46,0.043478260869565216
1996,Leptotes marina,1,46,0.021739130434782608
1996,Poladryas minuta,1,46,0.021739130434782608
1996,Speyeria atlantis,1,46,0.021739130434782608
1996,Thorybes pylades,1,46,0.021739130434782608
1997,Cercyonis oetus,1,75,0.013333333333333334
1997,Chlosyne acastus,1,75,0.013333333333333334
1997,Hypaurotis crysalus,1,75,0.013333333333333334
1997,Lycaena arota,1,75,0.013333333333333334
1997,Lycaena heteronea,1,75,0.013333333333333334
1997,Nymphalis antiopa,1,75,0.013333333333333334
1997,Speyeria mormonia,1,75,0.013333333333333334
1998,Asterocampa leilia,1,116,0.008620689655172414
1998,Atlides halesus,1,116,0.008620689655172414
1998,Autochton cellus,1,116,0.008620689655172414
1998,Celastrina ladon,1,116,0.008620689655172414
1998,Cercyonis oetus,1,116,0.008620689655172414
1998,Chlosyne lacinia,1,116,0.008620689655172414
1998,Coenonympha tullia,2,116,0.017241379310344827
1998,Danaus gilippus,1,116,0.008620689655172414
1998,Echinargus isola,1,116,0.008620689655172414
1998,Lerodea eufala,1,116,0.008620689655172414
1998,Limenitis weidermeyerii,1,116,0.008620689655172414
1998,Nymphalis vaualbum,1,116,0.008620689655172414
1998,Ochlodes sylvanoides,3,116,0.02586206896551724
1998,Poladryas minuta,2,116,0.017241379310344827
1998,Polygonia satyrus,1,116,0.008620689655172414
1998,Pontia protodice,1,116,0.008620689655172414
1998,Vanessa cardui,1,116,0.008620689655172414
1998,Zerene cesonia,1,116,0.008620689655172414
1999,Chlosyne acastus,1,137,0.0072992700729927005
1999,Hesperopsis alpheus,1,137,0.0072992700729927005
1999,Nymphalis antiopa,1,137,0.0072992700729927005
1999,Occidryas anicia,2,137,0.014598540145985401
1999,Parnassius smintheus,1,137,0.0072992700729927005
