species,median,low,up,probPos,probNeg
Achalarus casica,0.016,-0.704,0.689,0.534,0.466
Adelpha bredowii,-0.017,-0.051,0.019,0.17,0.83
Agraulis vanillae,0.017,-0.15,0.187,0.594,0.406
Agriades glandon,0.001,-0.131,0.128,0.508,0.492
Amblyscirtes aenus,-0.006,-0.273,0.259,0.478,0.522
Amblyscirtes cassus,-0.023,-0.427,0.351,0.434,0.566
Amblyscirtes elissa,0.05,-2.432,2.522,0.557,0.443
Amblyscirtes eos,0.028,-0.358,0.418,0.579,0.421
Amblyscirtes exoteria,0,-0.389,0.38,0.501,0.499
Amblyscirtes fimbriata,0.014,-2.478,2.519,0.516,0.484
Amblyscirtes nereus,-0.01,-2.301,2.417,0.489,0.511
Amblyscirtes nysa,0.002,-0.722,0.674,0.504,0.496
Amblyscirtes oslari,-0.001,0.024,-0.023,0.48,0.52
Amblyscirtes texanae,0.021,-2.472,2.466,0.524,0.476
Amblyscirtes tolteca,0.06,0.098,0.025,0.999,0.001
Amblyscirtes vialis,-0.076,-0.786,0.614,0.357,0.643
Anatrytone logan,-0.008,-2.433,2.465,0.491,0.509
Ancyloxypha arene,-0.046,-0.005,-0.091,0.018,0.982
Anteos clorinde,0.003,0.018,-0.012,0.683,0.317
Anthocharis lanceolata,-0.014,0.114,-0.152,0.409,0.591
Anthocharis sara,-0.018,-0.107,0.078,0.342,0.658
Apodemia mormo,0.016,-0.22,0.234,0.567,0.433
Apodemia nais,-0.004,-0.692,0.648,0.491,0.509
Apodemia palmeri,0.038,-0.68,0.675,0.577,0.423
Asterocampa celtis,0.006,-0.21,0.219,0.528,0.472
Asterocampa clyton,0.001,-0.696,0.673,0.502,0.498
Asterocampa leilia,0.012,-0.387,0.418,0.534,0.466
Atalopedes campestris,-0.03,-0.236,0.182,0.36,0.64
Atlides halesus,-0.012,-0.392,0.38,0.464,0.536
Atrytone arogos,-0.031,-2.501,2.688,0.467,0.533
Atrytonopsis edwardsii,0,-2.398,2.564,0.5,0.5
Atrytonopsis lunus,-0.027,-0.705,0.667,0.446,0.554
Autochton cellus,0.041,-0.233,0.3,0.646,0.354
Battus philenor,0.007,-0.06,0.08,0.583,0.417
Boloria epithore,0.005,-0.113,0.122,0.538,0.462
Boloria kriemhild,0.002,0.076,-0.072,0.527,0.473
Boloria montinus,-0.021,0.065,-0.101,0.302,0.698
Boloria selene,0.007,-0.661,0.667,0.516,0.484
Brephidium exile,0.008,-0.072,0.09,0.583,0.417
Calephelis arizonensis,-0.029,-0.734,0.646,0.44,0.56
Calephelis nemesis,0.024,-0.253,0.275,0.585,0.415
Calephelis wrighti,0.007,0.295,-0.298,0.522,0.478
Callophrys augustinus,-0.02,-0.136,0.088,0.348,0.652
Callophrys dumetorum,0.028,-0.361,0.423,0.579,0.421
Callophrys eryphon,-0.016,-0.165,0.124,0.404,0.596
Callophrys gryneus,0.012,-0.053,0.076,0.658,0.342
Callophrys sheridanii,0.025,-2.146,2.58,0.529,0.471
Callophrys spinetorum,-0.014,-0.157,0.125,0.411,0.589
Carterocephalus palaemon,-0.026,-2.617,2.535,0.472,0.528
Celastrina ladon,0.005,-0.031,0.039,0.623,0.377
Celotes nessus,-0.021,-0.744,0.638,0.458,0.542
Cercyonis meadii,-0.094,0.109,-0.279,0.155,0.845
Cercyonis oetus,-0.014,-0.098,0.068,0.366,0.634
Cercyonis pegala,-0.01,-0.07,0.05,0.369,0.631
Cercyonis sthenele,-0.022,-0.329,0.266,0.423,0.577
Chioides catillus,-0.018,-2.498,2.545,0.478,0.522
Chlosyne acastus,0.039,-2.64,2.559,0.54,0.46
Chlosyne californica,0.028,-2.874,2.788,0.529,0.471
Chlosyne cyneas,-0.012,0.011,-0.035,0.157,0.843
Chlosyne gabbii,-0.026,-0.745,0.648,0.449,0.551
Chlosyne gorgone,-0.028,-0.455,0.365,0.422,0.578
Chlosyne hoffmanni,0.01,-0.2,0.223,0.543,0.457
Chlosyne lacinia,0.028,-0.263,0.295,0.601,0.399
Chlosyne leanira,-0.007,-0.695,0.691,0.487,0.513
Chlosyne nycteis,-0.001,-2.313,2.434,0.499,0.501
Chlosyne palla,0,-0.066,0.065,0.503,0.497
Chlosyne theona,-0.017,-0.401,0.378,0.452,0.548
Codatractus arizonensis,-0.024,-0.689,0.657,0.452,0.548
Codatractus mysie,-0.002,0.03,-0.033,0.451,0.549
Coenonympha haydenii,-0.014,-2.656,2.236,0.484,0.516
Coenonympha tullia,-0.012,-0.042,0.018,0.213,0.787
Cogia caicus,-0.035,-2.423,2.508,0.46,0.54
Cogia hippalus,0.012,-0.264,0.286,0.545,0.455
Colias alexandra,0,-0.105,0.112,0.499,0.501
Colias cesonia,0.006,-0.172,0.18,0.534,0.466
Colias eurydice,-0.025,-0.305,0.263,0.411,0.589
Colias eurytheme,-0.013,-0.038,0.013,0.155,0.845
Colias interior,-0.042,-2.559,2.42,0.453,0.547
Colias meadii,0.027,-2.559,2.764,0.53,0.47
Colias occidentalis,-0.005,-0.701,0.707,0.489,0.511
Colias pelidne,0.08,0.163,-0.005,0.968,0.032
Colias philodice,-0.006,-0.072,0.061,0.428,0.572
Copaeodes aurantiacus,-0.009,-0.156,0.134,0.447,0.553
Cyllopsis pertepida,-0.024,-2.472,2.488,0.473,0.527
Cyllopsis pyracmon,-0.021,-2.619,2.472,0.476,0.524
Danaus gilippus,-0.007,-0.129,0.125,0.453,0.547
Danaus plexippus,-0.009,-0.045,0.029,0.306,0.694
Dymasia dymas,-0.004,-0.207,0.22,0.482,0.518
Emesis ares,-0.027,-2.385,2.242,0.467,0.533
Emesis zela,0.004,-0.722,0.69,0.508,0.492
Epargyreus clarus,-0.002,-0.085,0.081,0.482,0.518
Erebia callias,-0.014,0.096,-0.114,0.389,0.611
Erebia epipsodea,-0.03,-0.204,0.14,0.344,0.656
Erebia theano,-0.148,-0.042,-0.249,0.004,0.996
Erora quaderna,0.013,-0.692,0.71,0.527,0.473
Erynnis afranius,-0.035,0.064,-0.136,0.229,0.771
Erynnis funeralis,-0.026,-0.098,0.045,0.223,0.777
Erynnis icelus,0.008,-0.367,0.406,0.523,0.477
Erynnis juvenalis,-0.02,-2.644,2.331,0.476,0.524
Erynnis martialis,-0.024,-0.001,-0.045,0.019,0.981
Erynnis pacuvius,0.001,-0.078,0.077,0.512,0.488
