"","reps","median","low","up","prob"
"",2,-0.014,-2.299,2.177,0.517
"",2,-0.014,-3.464,2.77,0.516
"",2,-0.15,-2.723,2.453,0.67
"",2,-0.013,-2.288,2.981,0.514
"",2,-0.085,-2.339,2.546,0.595
"",2,-0.009,-2.326,2.21,0.512
"",2,0.042,-2.157,2.735,0.545
"",2,0.008,-1.901,2.063,0.508
"",2,-0.022,-2.13,2.018,0.525
"",2,0.002,-2.655,2.587,0.501
"",2,-0.045,-2.141,2.385,0.552
"",2,-0.014,-2.2,2.038,0.515
"",2,-0.025,-2.24,2.737,0.526
"",2,-0.045,-2.749,2.606,0.547
"",2,0.067,-2.248,2.311,0.571
"",2,0.002,-2.82,2.724,0.501
"",2,-0.109,-2.058,2.416,0.613
"",2,-0.02,-2.315,2.535,0.524
"",2,-0.012,-2.809,2.019,0.514
"",2,0,-2.252,2.035,0.501
"",2,-0.087,-2.356,2.618,0.596
"",2,0.01,-2.264,1.874,0.512
"",2,0.042,-2.481,2.847,0.556
"",2,0.04,-2.576,2.653,0.537
"",2,-0.097,-2.291,2.577,0.604
"",2,-0.024,-2.134,2.481,0.525
"",2,-0.213,-2.695,1.571,0.709
"",2,0.043,-2.128,2.122,0.548
"",2,-0.074,-2.92,1.776,0.579
"",2,0.025,-2.061,1.786,0.531
"",2,0.025,-2.364,2.134,0.529
"",2,-0.063,-2.509,2.218,0.569
"",2,0.008,-2.387,2.032,0.511
"",2,-0.005,-2.45,2.331,0.505
"",2,-0.078,-2.605,1.935,0.573
"",2,-0.01,-3.034,1.92,0.509
"",2,0.026,-2.681,2.336,0.532
"",2,-0.017,-2.29,1.961,0.522
"",2,-0.011,-1.965,2.252,0.515
"",2,-0.154,-2.659,2.867,0.658
"",2,0.022,-2.33,1.887,0.526
"",2,-0.008,-2.24,1.899,0.509
"",2,-0.025,-2.237,1.977,0.531
"",2,0.031,-2.172,2.31,0.536
"",2,-0.028,-2.093,2.317,0.535
"",2,-0.004,-3.289,3.102,0.504
"",2,0.02,-1.734,1.978,0.524
"",2,0.046,-2.817,2.214,0.542
"",2,-0.032,-3.169,2.694,0.53
"",2,0.055,-2.909,3.25,0.554
"",2,-0.029,-2.571,2.392,0.537
"",2,0.012,-2.504,3.224,0.513
"",2,0.029,-2.528,2.276,0.538
"",2,-0.053,-2.233,2.86,0.568
"",2,-0.101,-3.447,2.936,0.601
"",2,-0.04,-3.092,3.075,0.539
"",2,-0.043,-2.87,2.55,0.544
"",2,0.019,-3.052,3.031,0.52
"",2,-0.043,-2.607,2.948,0.551
"",2,-0.066,-2.959,2.651,0.581
"",2,0.009,-2.307,2.061,0.511
"",2,0.002,-2.675,2.179,0.502
"",2,0.041,-2.269,2.244,0.543
"",2,-0.033,-2.184,2.661,0.537
"",2,0.015,-2.215,2.206,0.517
"",2,-0.065,-2.148,2.78,0.577
"",2,0.08,-1.743,2.131,0.598
"",2,-0.015,-2.604,2.219,0.519
"",2,0.002,-2.741,2.056,0.503
"",2,0.107,-2.376,3.318,0.621
"",2,-0.008,-2.691,2.714,0.509
"",2,0.006,-2.807,1.947,0.51
"",2,-0.002,-3.125,2.745,0.501
"",2,0.044,-3.005,2.625,0.542
"",2,0.018,-2.125,1.951,0.521
"",2,0.04,-3.216,2.855,0.542
"",2,0.027,-2.113,2.094,0.535
"",2,-0.029,-1.908,2.578,0.534
"",2,-0.022,-2.796,2.615,0.526
"",2,0.009,-2.698,3.467,0.509
"",2,-0.023,-2.695,2.824,0.526
"",2,0.041,-2.209,2.364,0.545
"",2,-0.059,-2.539,2.533,0.563
"",2,-0.042,-2.872,2.505,0.549
"",2,-0.044,-2.65,2.791,0.549
"",2,-0.017,-2.52,2.459,0.521
"",2,-0.018,-2.254,2.301,0.522
"",2,0.06,-2.21,2.835,0.563
"",2,0.008,-2.786,2.162,0.509
"",2,-0.015,-2.646,2.522,0.523
"",2,-0.031,-3.445,2.702,0.531
"",2,-0.03,-2.12,1.994,0.53
"",2,0.02,-2.345,2.511,0.523
"",2,0.032,-2.311,2.112,0.533
"",2,-0.004,-2.351,2.357,0.504
"",2,0.058,-2.026,2.211,0.567
"",2,-0.004,-2.157,2.329,0.506
"",2,-0.05,-3.436,2.849,0.557
"",2,0.005,-2.842,2.632,0.505
"",2,-0.139,-2.719,2.353,0.636
"",12,-0.016,-0.108,0.068,0.65
"",12,-0.036,-0.132,0.051,0.797
"",12,-0.012,-0.099,0.078,0.623
"",12,-0.024,-0.124,0.069,0.699
"",12,-0.002,-0.098,0.09,0.512
"",12,-0.009,-0.098,0.08,0.578
"",12,-0.032,-0.12,0.058,0.778
"",12,-0.013,-0.133,0.077,0.609
"",12,-0.003,-0.094,0.097,0.527
"",12,-0.005,-0.098,0.076,0.542
"",12,-0.009,-0.101,0.092,0.573
"",12,0.001,-0.089,0.089,0.506
"",12,-0.017,-0.112,0.071,0.655
"",12,-0.006,-0.091,0.08,0.56
"",12,0.004,-0.083,0.092,0.536
"",12,-0.024,-0.112,0.068,0.714
"",12,-0.035,-0.134,0.056,0.785
"",12,-0.028,-0.12,0.063,0.737
"",12,-0.015,-0.1,0.071,0.642
"",12,-0.001,-0.088,0.086,0.514
"",12,-0.044,-0.133,0.047,0.848
"",12,-0.04,-0.13,0.066,0.805
"",12,-0.05,-0.141,0.048,0.852
"",12,-0.007,-0.098,0.071,0.577
"",12,-0.013,-0.103,0.087,0.611
"",12,-0.019,-0.11,0.067,0.665
"",12,-0.033,-0.123,0.055,0.779
"",12,-0.026,-0.118,0.057,0.734
"",12,0.007,-0.084,0.091,0.576
"",12,-0.005,-0.086,0.084,0.548
"",12,-0.013,-0.108,0.075,0.619
"",12,-0.034,-0.128,0.06,0.766
"",12,-0.009,-0.098,0.077,0.587
"",12,-0.037,-0.127,0.05,0.813
"",12,0.002,-0.088,0.102,0.518
"",12,-0.018,-0.108,0.076,0.654
"",12,-0.027,-0.115,0.062,0.742
"",12,0.008,-0.085,0.096,0.572
"",12,-0.009,-0.102,0.08,0.578
"",12,0.005,-0.084,0.09,0.545
"",12,-0.016,-0.11,0.068,0.646
"",12,-0.058,-0.155,0.032,0.907
"",12,-0.035,-0.123,0.056,0.789
"",12,-0.01,-0.086,0.078,0.598
"",12,-0.02,-0.105,0.064,0.679
"",12,-0.021,-0.107,0.069,0.693
"",12,-0.015,-0.101,0.074,0.642
"",12,-0.052,-0.153,0.04,0.882
"",12,-0.008,-0.105,0.077,0.581
"",12,-0.009,-0.095,0.088,0.586
"",12,-0.028,-0.127,0.064,0.738
"",12,-0.018,-0.107,0.079,0.652
"",12,-0.029,-0.121,0.061,0.743
"",12,-0.033,-0.124,0.057,0.788
"",12,-0.01,-0.101,0.078,0.593
"",12,-0.022,-0.112,0.063,0.691
"",12,-0.01,-0.105,0.075,0.601
"",12,0.002,-0.08,0.097,0.518
"",12,-0.031,-0.127,0.066,0.759
"",12,-0.027,-0.114,0.062,0.739
"",12,-0.008,-0.096,0.072,0.569
"",12,-0.003,-0.094,0.08,0.54
"",12,-0.043,-0.144,0.045,0.832
"",12,-0.03,-0.118,0.063,0.753
"",12,-0.037,-0.14,0.055,0.794
"",12,-0.004,-0.087,0.085,0.532
"",12,-0.02,-0.109,0.065,0.682
"",12,-0.033,-0.127,0.058,0.765
"",12,-0.007,-0.097,0.077,0.558
"",12,-0.024,-0.104,0.067,0.712
"",12,-0.052,-0.144,0.044,0.873
"",12,-0.037,-0.129,0.059,0.786
"",12,-0.026,-0.113,0.076,0.711
"",12,-0.022,-0.118,0.064,0.699
"",12,-0.025,-0.112,0.083,0.704
"",12,-0.021,-0.114,0.063,0.685
"",12,-0.011,-0.09,0.08,0.609
"",12,0.01,-0.075,0.096,0.6
"",12,0.01,-0.08,0.099,0.588
"",12,-0.003,-0.091,0.093,0.526
"",12,-0.007,-0.101,0.088,0.571
"",12,-0.035,-0.131,0.071,0.768
"",12,-0.025,-0.117,0.062,0.718
"",12,0.001,-0.084,0.1,0.509
"",12,-0.008,-0.097,0.078,0.575
"",12,-0.027,-0.112,0.055,0.756
"",12,-0.026,-0.116,0.054,0.735
"",12,-0.002,-0.093,0.093,0.526
"",12,-0.012,-0.099,0.09,0.6
"",12,-0.003,-0.092,0.086,0.522
"",12,-0.019,-0.103,0.068,0.665
"",12,-0.047,-0.148,0.041,0.857
"",12,-0.002,-0.087,0.094,0.52
"",12,-0.027,-0.117,0.059,0.74
"",12,-0.003,-0.087,0.087,0.532
"",12,0.012,-0.077,0.098,0.615
"",12,-0.006,-0.091,0.083,0.556
"",12,-0.002,-0.095,0.09,0.519
"",12,-0.018,-0.116,0.079,0.649
"",12,-0.02,-0.112,0.067,0.685
"",22,0.007,-0.043,0.059,0.605
"",22,-0.019,-0.07,0.028,0.78
"",22,-0.017,-0.073,0.04,0.725
"",22,-0.01,-0.06,0.037,0.654
"",22,-0.011,-0.064,0.036,0.676
"",22,-0.027,-0.079,0.025,0.847
"",22,-0.013,-0.059,0.039,0.704
"",22,-0.027,-0.075,0.027,0.859
"",22,-0.006,-0.057,0.043,0.597
"",22,-0.036,-0.091,0.015,0.906
"",22,-0.036,-0.083,0.011,0.926
"",22,-0.013,-0.067,0.036,0.702
"",22,-0.025,-0.077,0.033,0.828
"",22,0,-0.045,0.052,0.502
"",22,-0.021,-0.075,0.026,0.81
"",22,-0.012,-0.058,0.032,0.711
