site,Longitude,Latitude,elev,colors
Suisun Marsh,-122.0371381,38.23421079,0.5,#F87016
North Sacramento,-121.4701651,38.59886071,8,#F1BC13
West Sacramento,-121.5678116,38.58163488,9,#D1EB10
Rancho Cordova,-121.2861349,38.62262737,18,#7FE50D
Gates Canyon,-122.048901,38.38254211,395,#2FDE0A
Washington,-120.789845,39.35112339,1025,#08D82F
Sierra Valley,-120.3588527,39.62649529,1500,#06D274
Lang Crossing,-120.6610288,39.31376161,1600,#04CBB7
Donner Pass,-120.3544918,39.31917658,2100,#0193C5
Castle Peak,-120.3603421,39.36635013,2587.5,#0049BF
