genus_species,species_fix
Adelpha bredowii californica,Adelpha bredowii californica
Agraulis vanillae,Agraulis vanillae
Agriades podarce,Agriades podarce
Amblyscirtes vialis,Amblyscirtes vialis
Anthocharis lanceolata,Anthocharis lanceolata
Anthocharis sara sara,Anthocharis sara
Anthocharis sara thoosa,Anthocharis sara
Anthocharis stella,Anthocharis stella
Apodemia mormo,Apodemia mormo
Atalopedes campestris,Atalopedes campestris
Atlides halesus,Atlides halesus
Battus philenor,Battus philenor
Boloria epithore,Boloria epithore
Brephidium exile,Brephidium exile
Callophrys dumetorum,Callophrys dumetorum
Callophrys sheridanii lemberti,Callophrys sheridanii lemberti
Carterocephalus palaemon,Carterocephalus palaemon
Celastrina ladon echo,Celastrina ladon echo
Cercyonis oetus,Cercyonis oetus
Cercyonis pegala boopis,Cercyonis pegala boopis
Cercyonis sthenele silvestris,Cercyonis sthenele silvestris
Chlosyne hoffmanni,Chlosyne hoffmanni
Chlosyne lacinia,Chlosyne lacinia
Chlosyne palla,Chlosyne palla
Coenonympha tullia ampelos,Coenonympha tullia
Coenonympha tullia california,Coenonympha tullia
Colias alexandra,Colias alexandra
Colias eurytheme,Colias eurytheme
Colias philodice (eriphyle),Colias philodice (eriphyle)
Danaus gilippus,Danaus gilippus
Danaus plexippus,Danaus plexippus
Epargyreus clarus,Epargyreus clarus
Erynnis brizo lacustra,Erynnis brizo lacustra
Erynnis funeralis,Erynnis funeralis
Erynnis icelus,Erynnis icelus
Erynnis pacuvius,Erynnis pacuvius
Erynnis persius,Erynnis persius
Erynnis propertius,Erynnis propertius
Erynnis tristis,Erynnis tristis
Euchloe ausonides,Euchloe ausonides
Euchloe hyantis foothill,Euchloe hyantis
Euchloe hyantis hyantis,Euchloe hyantis
Euchloe hyantis lotta,Euchloe hyantis
Euphilotes battoides,Euphilotes battoides
Euphilotes enoptes,Euphilotes enoptes
Euphydryas chalcedona,Euphydryas chalcedona
Euphydryas editha,Euphydryas editha
Everes amyntula,Everes amyntula
Everes comyntas,Everes comyntas
Glaucopsyche lygdamus,Glaucopsyche lygdamus
Glaucopsyche piasus,Glaucopsyche piasus
Habrodais grunus,Habrodais grunus
Heliopetes ericetorum,Heliopetes ericetorum
Hemiargus isola,Hemiargus isola
Hesperia colorado harpalus,Hesperia colorado
Hesperia colorado idaho,Hesperia colorado
Hesperia colorado ssp.,Hesperia colorado
Hesperia colorado tildeni,Hesperia colorado
Hesperia columbia,Hesperia columbia
Hesperia juba,Hesperia juba
Hesperia lindseyi,Hesperia lindseyi
Hesperia nevada,Hesperia nevada
Hylephila phyleus,Hylephila phyleus
Incisalia augustinus iroides,Incisalia augustinus iroides
Incisalia eryphon,Incisalia eryphon
Incisalia mossii,Incisalia mossii
Junonia coenia,Junonia coenia
Leptotes marina,Leptotes marina
Lerodea eufala,Lerodea eufala
Limenitis lorquini,Limenitis lorquini
Lycaeides idas anna,Lycaeides idas anna
Lycaeides melissa melissa,Lycaeides melissa melissa
Lycaena arota arota,Lycaena arota
Lycaena arota virginiensis,Lycaena arota
Lycaena cupreus,Lycaena cupreus
Lycaena editha,Lycaena editha
Lycaena gorgon,Lycaena gorgon
Lycaena helloides,Lycaena helloides
Lycaena heteronea,Lycaena heteronea
Lycaena mariposa,Lycaena mariposa
Lycaena nivalis,Lycaena nivalis
Lycaena rubidus,Lycaena rubidus
Lycaena xanthoides,Lycaena xanthoides
Mitoura gryneus chalcosiva,Mitoura gryneus
Mitoura gryneus nelsoni,Mitoura gryneus
Mitoura johnsoni,Mitoura johnsoni
Mitoura spinetorum,Mitoura spinetorum
Nathalis iole,Nathalis iole
Neophasia menapia,Neophasia menapia
Nymphalis antiopa,Nymphalis antiopa
Nymphalis californica,Nymphalis californica
Nymphalis milberti,Nymphalis milberti
Ochlodes agricola,Ochlodes agricola
Ochlodes sylvanoides,Ochlodes sylvanoides
Ochlodes yuma,Ochlodes yuma
Oeneis chryxus ivallda,Oeneis chryxus ivallda
Papilio eurymedon,Papilio eurymedon
Papilio indra,Papilio indra
Papilio multicaudatus,Papilio multicaudatus
Papilio rutulus,Papilio rutulus
Papilio zelicaon,Papilio zelicaon
Parnassius clodius,Parnassius clodius
Parnassius phoebus behrii,Parnassius phoebus behrii
Philotes sonorensis,Philotes sonorensis
Phoebis sennae,Phoebis sennae
Pholisora catullus,Pholisora catullus
Phyciodes campestris campestris,Phyciodes campestris
Phyciodes campestris campestris/montana,Phyciodes campestris
Phyciodes campestris inornatus,Phyciodes campestris
Phyciodes campestris montana,Phyciodes campestris
Phyciodes mylitta,Phyciodes mylitta
Phyciodes orseis herlani,Phyciodes orseis herlani
Pieris napi,Pieris napi
Pieris rapae,Pieris rapae
Plebejus acmon,Plebejus acmon
Plebejus icarioides,Plebejus icarioides
Plebejus lupini,Plebejus lupini
Plebejus saepiolus,Plebejus saepiolus
Plebejus shasta,Plebejus shasta
Poanes melane,Poanes melane
Polites sabuleti sabuleti,Polites sabuleti
Polites sabuleti ssp.,Polites sabuleti
Polites sabuleti tecumseh,Polites sabuleti
Polites sonora,Polites sonora
Polygonia faunus,Polygonia faunus
Polygonia satyrus,Polygonia satyrus
Polygonia zephyrus,Polygonia zephyrus
Pontia beckerii,Pontia beckerii
Pontia occidentalis,Pontia occidentalis
Pontia protodice,Pontia protodice
Pontia sisymbrii,Pontia sisymbrii
Pyrgus communis,Pyrgus communis
Pyrgus ruralis,Pyrgus ruralis
Pyrgus scriptura,Pyrgus scriptura
Satyrium auretorum,Satyrium auretorum
Satyrium behrii,Satyrium behrii
Satyrium californica,Satyrium californica
Satyrium fuliginosum fuliginosum,Satyrium fuliginosum fuliginosum
Satyrium fuliginosum semiluna,Satyrium fuliginosum semiluna
Satyrium saepium,Satyrium saepium
Satyrium sylvinus,Satyrium sylvinus
Satyrium tetra,Satyrium tetra
Speyeria atlantis irene,Speyeria atlantis irene
Speyeria callippe juba,Speyeria callippe
Speyeria callippe nevadensis,Speyeria callippe
Speyeria callippe ssp.,Speyeria callippe
Speyeria coronis,Speyeria coronis
Speyeria cybele leto,Speyeria cybele
Speyeria egleis,Speyeria egleis
Speyeria hydaspe,Speyeria hydaspe
Speyeria mormonia,Speyeria mormonia
Speyeria zerene,Speyeria zerene
Strymon melinus,Strymon melinus
Thessalia leanira,Thessalia leanira
Thorybes diversus,Thorybes diversus
Thorybes mexicana nevada,Thorybes mexicana nevada
Thorybes pylades,Thorybes pylades
Vanessa annabella,Vanessa annabella
Vanessa atalanta,Vanessa atalanta
Vanessa cardui,Vanessa cardui
Vanessa virginiensis,Vanessa virginiensis
Zerene eurydice,Zerene eurydice
"Euchloe hyantis """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""foothill""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Euchloe hyantis
