site,median,up,low,probPos,probNeg
AtascosaHighlandsAZ,0.022,0.025,0.018,1,0
PatagoniaAZ,0.003,0.004,0.002,1,0
RamseyCanyonAZ,-0.005,-0.004,-0.007,0,1
BerkeleyCA,-0.012,-0.009,-0.015,0,1
ElDoradoNatureCenterCA,-0.123,-0.09,-0.155,0,1
PalosVerdesCA,-0.002,0,-0.004,0.041,0.959
SanFranciscoCA,0.048,0.06,0.036,1,0
BeartoothButteWY,0.008,0.011,0.005,1,0
CalWoodOutdoorLearningCenterCO,0.003,0.006,-0.001,0.925,0.075
DardenellesCA,-0.008,-0.005,-0.01,0,1
GiantSequoiaNationalMonumentSouth,0,0.011,-0.012,0.506,0.494
GilpinCo,-0.023,-0.022,-0.024,0,1
LosAlamosNM,-0.021,-0.011,-0.031,0,1
MountLassen,0.043,0.052,0.034,1,0
RockyMountainNationalParkCO,0.055,0.063,0.046,1,0
YubaPassCA,-0.025,-0.02,-0.029,0,1
PortalAZ,0.035,0.042,0.027,1,0
SabinoCanyonAZ,-0.008,0,-0.016,0.032,0.968
ChumstickMtn,-0.029,-0.026,-0.032,0,1
FiveValleysMT,-0.082,-0.075,-0.088,0,1
YellowPineID,0.023,0.034,0.012,1,0
HighLineCanalCO,-0.051,-0.047,-0.054,0,1
BigCreek,-0.023,-0.018,-0.029,0,1
BoiseFrontID,0.036,0.041,0.031,1,0
BorregoSpringsCA,-0.033,-0.006,-0.061,0.008,0.992
JoshuaTreeCA,-0.137,-0.128,-0.145,0,1
MountDiabloCA,-0.029,-0.026,-0.032,0,1
OchocoOR,-0.038,-0.035,-0.041,0,1
PinnaclesNationalPark,-0.087,-0.081,-0.095,0,1
YellowstoneNationalPark,0.017,0.024,0.009,1,0
CottonwoodSpringCA,0.015,0.048,-0.017,0.843,0.157
OrganMountainsNM,-0.009,0.001,-0.018,0.039,0.961
SanJuanCapistranoCA,0.151,0.167,0.133,1,0
BoyceThompsonArboretum,0.021,0.043,0,0.968,0.032
MarinCo,-0.039,-0.026,-0.051,0,1
WillowSlough,-0.044,-0.04,-0.048,0,1
FortCollinsCO,-0.046,-0.041,-0.05,0,1
MortonElrodMemorialMT,-0.035,-0.026,-0.044,0,1
SantaYnezCanyon,-0.03,-0.02,-0.041,0,1
HastingsReservationCA,-0.012,-0.002,-0.022,0.007,0.993
MountBadenPowellCA,-0.002,0.011,-0.016,0.37,0.63
BigBearCA,-0.016,-0.012,-0.019,0,1
MetoliusOR,0.016,0.018,0.013,1,0
BryceCanyonUT,0.055,0.069,0.04,1,0
NorthForkKernRiverValleyCA,-0.146,-0.134,-0.16,0,1
PasadenaCA,-0.06,-0.047,-0.073,0,1
SevenDevilsID,0.035,0.053,0.014,1,0
PomonaCA,-0.211,-0.192,-0.231,0,1
CamasNationalWildlifeRefugeID,-0.202,-0.187,-0.218,0,1
RooseveltNationalForestCO,-0.048,-0.035,-0.062,0,1
CosumnesRiverCA,0.001,0.007,-0.006,0.602,0.398
LavaBedsNationalMonument,0.119,0.14,0.096,1,0
MinidokaNationalWildlifeRefugeID,-0.141,-0.11,-0.171,0,1
SanJoaquinCo,-0.073,-0.067,-0.08,0,1
SonomaCo,-0.008,0.004,-0.019,0.099,0.901
SouthSanFranciscoBayCA,-0.033,-0.018,-0.049,0,1
BrowderRidgeOR,0.033,0.042,0.025,1,0
ONeillRegionalParkCA,-0.143,-0.067,-0.214,0,1
BigChicoCreekEcologicalReserve,-0.193,-0.154,-0.236,0,1
EugeneOR,0.049,0.058,0.039,1,0
BeniciaCA,-0.04,-0.017,-0.062,0,1
Monterey,-0.081,-0.036,-0.128,0,1
SanBrunoMountainCA,0.011,0.03,-0.008,0.89,0.11
SantaFeNM,-0.025,-0.014,-0.035,0,1
WesternWahkiakumCo,0.017,0.023,0.01,1,0
MagicMountainID,-0.039,-0.001,-0.083,0.03,0.97
WhiteMountains,-0.04,-0.028,-0.053,0,1
PointReyesCA,-0.031,-0.018,-0.045,0,1
MarysPeakOR,0.344,0.406,0.284,1,0
VashonIslandWA,-0.04,0.006,-0.088,0.042,0.958
TrapperCreekID,0.116,0.163,0.068,1,0
