fourthSp,Growth,Families,numFam,numGen
Achalarus casica,na,na,NA,NA
Adelpha bredowii,tree,fagaceae,1,2
Agathymus aryxna,shrub,agavaceae,1,1
Agraulis vanillae,vine,passifloraceae,1,1
Agriades cassiope,na,na,NA,NA
Agriades glandon,herb,more,4,5
Amblyscirtes aenus,grass,poaceae,1,1
Amblyscirtes cassus,na,na,NA,NA
Amblyscirtes elissa,na,na,NA,NA
Amblyscirtes eos,na,na,NA,NA
Amblyscirtes exoteria,na,na,NA,NA
Amblyscirtes fimbriata,na,na,NA,NA
Amblyscirtes nereus,na,na,NA,NA
Amblyscirtes nysa,grass,poaceae,1,5
Amblyscirtes oslari,na,na,NA,NA
Amblyscirtes phylace,na,na,NA,NA
Amblyscirtes texanae,na,na,NA,NA
Amblyscirtes tolteca,na,na,NA,NA
Amblyscirtes vialis,grass,poaceae,1,3
Anaea aidea,herb,euphorbiaceae,1,NA
Anatrytone logan,grass,poaceae,1,3
Ancyloxypha arene,na,na,NA,NA
Anteos clorinde,shrub,leguminosae,1,NA
Anthocharis cethura,herb,crucifierae,1,4
Anthocharis lanceolata,herb,crucifierae,1,3
Anthocharis sara,herb,crucifierae,1,14
Apodemia mormo,herb/shrub,more,2,2
Apodemia nais,shrub,more,2,2
Apodemia palmeri,tree,leguminosae,1,1
Asterocampa celtis,tree,ulmaceae,1,1
Asterocampa clyton,tree,ulmaceae,1,1
Asterocampa leilia,tree,ulmaceae,1,1
Atalopedes campestris,grass,poaceae,1,5
Atlides halesus,mistletoe,loranthaceae,1,1
Atrytone arogos,grass,poaceae,1,1
Atrytonopsis cestus,na,na,NA,NA
Atrytonopsis edwardsii,na,na,NA,NA
Atrytonopsis lunus,na,na,NA,NA
Autochton cellus,herb,leguminosae,1,3
Battus philenor,herb/vine,more,3,4
Boloria epithore,herb,violaceae,1,1
Boloria eunomia,herb/shrub,more,3,3
Boloria kriemhild,herb,violaceae,1,1
Boloria montinus,herb/shrub,more,3,3
Boloria selene,herb,violaceae,1,1
