"genus_species","site_name","Year","pres","visits"
"sp1","Castle Peak",-21.6707616707617,0,6
"sp1","Castle Peak",-20.6707616707617,0,3
"sp1","Castle Peak",-19.6707616707617,0,4
"sp1","Castle Peak",-18.6707616707617,0,3
"sp1","Castle Peak",-17.6707616707617,0,2
"sp1","Castle Peak",-16.6707616707617,0,4
"sp1","Castle Peak",-15.6707616707617,1,3
"sp1","Castle Peak",-14.6707616707617,0,3
"sp1","Castle Peak",-13.6707616707617,0,4
"sp1","Castle Peak",-12.6707616707617,0,4
"sp1","Castle Peak",-11.6707616707617,0,4
"sp1","Castle Peak",-10.6707616707617,0,7
"sp1","Castle Peak",-9.67076167076175,2,10
"sp1","Castle Peak",-8.67076167076175,1,7
"sp1","Castle Peak",-7.67076167076175,1,10
"sp1","Castle Peak",-6.67076167076175,1,8
"sp1","Castle Peak",-5.67076167076175,0,8
"sp1","Castle Peak",-4.67076167076175,0,8
"sp1","Castle Peak",-3.67076167076175,0,7
"sp1","Castle Peak",-2.67076167076175,1,5
"sp1","Castle Peak",-1.67076167076175,1,9
"sp1","Castle Peak",-0.670761670761749,0,8
"sp1","Castle Peak",0.329238329238251,0,8
"sp1","Castle Peak",1.32923832923825,0,6
"sp1","Castle Peak",2.32923832923825,2,9
"sp1","Castle Peak",3.32923832923825,1,7
"sp1","Castle Peak",4.32923832923825,0,8
"sp1","Castle Peak",5.32923832923825,0,6
"sp1","Castle Peak",6.32923832923825,0,6
"sp1","Castle Peak",7.32923832923825,0,4
"sp1","Castle Peak",8.32923832923825,1,6
"sp1","Castle Peak",9.32923832923825,1,8
"sp1","Castle Peak",10.3292383292383,2,7
"sp1","Castle Peak",11.3292383292383,0,6
"sp1","Castle Peak",12.3292383292383,0,5
"sp1","Castle Peak",13.3292383292383,2,7
"sp1","Castle Peak",14.3292383292383,1,7
"sp1","Castle Peak",15.3292383292383,3,9
"sp1","Castle Peak",16.3292383292383,1,7
"sp1","Castle Peak",17.3292383292383,1,5
"sp1","Castle Peak",18.3292383292383,1,5
"sp1","Castle Peak",19.3292383292383,0,8
"sp1","Castle Peak",20.3292383292383,0,8
"sp1","Gates Canyon",1.32923832923825,15,30
"sp1","Gates Canyon",2.32923832923825,15,27
"sp1","Gates Canyon",3.32923832923825,15,28
"sp1","Gates Canyon",4.32923832923825,17,28
"sp1","Gates Canyon",5.32923832923825,14,28
"sp1","Gates Canyon",6.32923832923825,14,31
"sp1","Gates Canyon",7.32923832923825,12,28
"sp1","Gates Canyon",8.32923832923825,14,29
"sp1","Gates Canyon",9.32923832923825,11,26
"sp1","Gates Canyon",10.3292383292383,13,28
"sp1","Gates Canyon",11.3292383292383,17,29
"sp1","Gates Canyon",12.3292383292383,12,29
"sp1","Gates Canyon",13.3292383292383,15,33
"sp1","Gates Canyon",14.3292383292383,15,32
"sp1","Gates Canyon",15.3292383292383,17,30
"sp1","Gates Canyon",16.3292383292383,20,32
"sp1","Gates Canyon",17.3292383292383,15,30
"sp1","Gates Canyon",18.3292383292383,16,31
"sp1","Gates Canyon",19.3292383292383,18,32
"sp1","Gates Canyon",20.3292383292383,18,31
"sp1","North Sacramento",14.3292383292383,0,32
"sp1","North Sacramento",15.3292383292383,0,33
"sp1","North Sacramento",16.3292383292383,0,32
"sp1","North Sacramento",17.3292383292383,1,33
"sp1","North Sacramento",18.3292383292383,0,33
"sp1","North Sacramento",19.3292383292383,0,30
"sp1","North Sacramento",20.3292383292383,0,33
"sp1","Suisun Marsh",-18.6707616707617,2,19
"sp1","Suisun Marsh",-17.6707616707617,0,19
"sp1","Suisun Marsh",-16.6707616707617,0,18
"sp1","Suisun Marsh",-15.6707616707617,1,18
"sp1","Suisun Marsh",-14.6707616707617,1,20
"sp1","Suisun Marsh",-13.6707616707617,1,18
"sp1","Suisun Marsh",-12.6707616707617,1,19
"sp1","Suisun Marsh",-11.6707616707617,0,21
"sp1","Suisun Marsh",-10.6707616707617,1,22
"sp1","West Sacramento",-10.6707616707617,0,18
"sp1","West Sacramento",-9.67076167076175,0,26
"sp1","West Sacramento",-8.67076167076175,0,31
"sp1","West Sacramento",-7.67076167076175,0,28
"sp1","West Sacramento",-6.67076167076175,2,27
"sp1","West Sacramento",-5.67076167076175,0,27
