Year,Month,Day,Site,ButterflyCount,PartyHours,#Parties,#Observers,TotalDistanceMi,NABAEnglishName,Latitude,Longitude
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,desert cloudywing,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,california sister,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,3,26,4,NA,NA,gulf fritillary,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,9,26,4,NA,NA,bronze roadside skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,2,26,4,NA,NA,mormon metalmark,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,5,26,4,NA,NA,hackberry emperor,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,tawny emperor,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,37,26,4,NA,NA,empress leilia,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,92,26,4,NA,NA,pipevine swallowtail,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,3,26,4,NA,NA,western pygmy blue,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,29,26,4,NA,NA,arizona metalmark,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,fatal metalmark,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,5,26,4,NA,NA,common streaky skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,5,26,4,NA,NA,arizona skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,41,26,4,NA,NA,acacia skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,5,26,4,NA,NA,southern dogface,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,20,26,4,NA,NA,orange skipperling,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,15,26,4,NA,NA,queen,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,63,26,4,NA,NA,dymasia dymas chara,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,mournful duskywing,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,29,26,4,NA,NA,mexican yellow,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,10,26,4,NA,NA,sleepy orange,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,15,26,4,NA,NA,eastern tailed blue,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,19,26,4,NA,NA,ceraunus blue,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,reakirt's blue,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,93,26,4,NA,NA,marine blue,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,7,26,4,NA,NA,viceroy,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,10,26,4,NA,NA,red spotted purple,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,6,26,4,NA,NA,red satyr,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,2,26,4,NA,NA,leda ministreak,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,2,26,4,NA,NA,dainty sulphur,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,4,26,4,NA,NA,two tailed swallowtail,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,cloudless sulphur,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,2,26,4,NA,NA,carus skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,common checkered skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,2,26,4,NA,NA,desert checkered skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,19,26,4,NA,NA,golden headed scallopwing,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,3,26,4,NA,NA,gray hairstreak,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,7,26,4,NA,NA,arizona powdered skipper,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,85,26,4,NA,NA,elada checkerspot,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,northern cloudywing,31.48,-111.16
1980,7,19,AtascosaHighlandsAZ,1,26,4,NA,NA,american lady,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,1,19,2,NA,NA,desert cloudywing,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,9,19,2,NA,NA,palmer's metalmark,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,1,19,2,NA,NA,hackberry emperor,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,1,19,2,NA,NA,tawny emperor,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,7,19,2,NA,NA,empress leilia,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,1,19,2,NA,NA,great purple hairstreak,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,40,19,2,NA,NA,pipevine swallowtail,31.48,-111.16
1982,6,20,AtascosaHighlandsAZ,42,19,2,NA,NA,acacia skipper,31.48,-111.16
