Site,Date,State,LatinName,EnglishName,Season,Survey,ButterflyCount,HoursObserved
PatagoniaAZ,8/6/2019,AZ,Achalarus casica,Desert cloudywing,Summer,2019 Summer,2,71
PortalAZ,7/25/2019,AZ,Achalarus casica,Desert cloudywing,Summer,2019 Summer,1,4
PortalAZ,8/2/2020,AZ,Achalarus casica,Desert cloudywing,Summer,2020 Summer,1,21
RamseyCanyonAZ,8/1/2019,AZ,Achalarus casica,Desert cloudywing,Summer,2019 Summer,4,39.5
RamseyCanyonAZ,7/28/2020,AZ,Achalarus casica,Desert cloudywing,Summer,2020 Summer,4,55.5
SabinoCanyonAZ,7/23/2019,AZ,Achalarus casica,Desert cloudywing,Summer,2019 Summer,1,38.5
SantaRitaMountains,7/28/2019,AZ,Achalarus casica,Desert cloudywing,Summer,2019 Summer,4,48.5
SantaRitaMountains,7/31/2020,AZ,Achalarus casica,Desert cloudywing,Summer,2020 Summer,2,60
Cottonwood,8/29/2019,AZ,Adelpha californica,California sister,Summer,2019 Summer,4,11
Cottonwood,8/26/2020,AZ,Adelpha californica,California sister,Summer,2020 Summer,2,20
PatagoniaAZ,8/6/2019,AZ,Adelpha californica,California sister,Summer,2019 Summer,3,71
PortalAZ,7/25/2019,AZ,Adelpha californica,California sister,Summer,2019 Summer,6,4
PortalAZ,8/2/2020,AZ,Adelpha californica,California sister,Summer,2020 Summer,27,21
RamseyCanyonAZ,8/1/2019,AZ,Adelpha californica,California sister,Summer,2019 Summer,13,39.5
RamseyCanyonAZ,7/28/2020,AZ,Adelpha californica,California sister,Summer,2020 Summer,113,55.5
SabinoCanyonAZ,7/23/2019,AZ,Adelpha californica,California sister,Summer,2019 Summer,6,38.5
SabinoCanyonAZ,7/29/2020,AZ,Adelpha californica,California sister,Summer,2020 Summer,1,14.5
SantaRitaMountains,7/28/2019,AZ,Adelpha californica,California sister,Summer,2019 Summer,57,48.5
SantaRitaMountains,9/28/2019,AZ,Adelpha californica,California sister,Fall,2019 Fall,56,37.5
SantaRitaMountains,7/31/2020,AZ,Adelpha californica,California sister,Summer,2020 Summer,63,60
SantaRitaMountains,10/4/2020,AZ,Adelpha californica,California sister,Fall,2020 Fall,115,63.5
McDowellSonoranPreserve,9/28/2019,AZ,Adelpha eulalia,Arizona sister,Fall,2019 Fall,2,18.78
BoyceThompsonArboretum,9/12/2020,AZ,Agathymus aryxna,Arizona giant skipper,Fall,2020 Fall,4,7.5
SantaRitaMountains,9/28/2019,AZ,Agathymus aryxna,Arizona giant skipper,Fall,2019 Fall,11,37.5
