LatinName,Site,Date,State,Latitude,Longitude,ButterflyCount,PartyHours,JulianDate
Achalarus casica,AtascosaHighlandsAZ,7/19/1980,AZ,31.48,-111.16,1,26,201
Achalarus casica,AtascosaHighlandsAZ,6/20/1982,AZ,31.48,-111.16,1,19,171
Achalarus casica,AtascosaHighlandsAZ,7/30/1983,AZ,31.48,-111.16,4,26,211
Achalarus casica,AtascosaHighlandsAZ,8/5/1984,AZ,31.48,-111.16,1,41,218
Achalarus casica,AtascosaHighlandsAZ,8/17/1985,AZ,31.48,-111.16,2,22,229
Achalarus casica,AtascosaHighlandsAZ,8/30/1986,AZ,31.48,-111.16,1,35,242
Achalarus casica,AtascosaHighlandsAZ,8/22/1987,AZ,31.48,-111.16,2,35,234
Achalarus casica,AtascosaHighlandsAZ,8/13/1988,AZ,31.48,-111.16,4,33.5,226
Achalarus casica,AtascosaHighlandsAZ,8/20/1989,AZ,31.48,-111.16,5,56,232
Achalarus casica,AtascosaHighlandsAZ,8/18/1990,AZ,31.48,-111.16,4,50,230
Achalarus casica,AtascosaHighlandsAZ,8/10/1991,AZ,31.48,-111.16,1,43.5,222
Achalarus casica,AtascosaHighlandsAZ,8/16/1992,AZ,31.48,-111.16,6,62,229
Achalarus casica,AtascosaHighlandsAZ,8/14/1993,AZ,31.48,-111.16,2,45,226
Achalarus casica,AtascosaHighlandsAZ,8/13/1994,AZ,31.48,-111.16,5,28,225
Achalarus casica,AtascosaHighlandsAZ,8/20/1995,AZ,31.48,-111.16,6,51,232
Achalarus casica,AtascosaHighlandsAZ,8/18/1996,AZ,31.48,-111.16,17,42,231
Achalarus casica,AtascosaHighlandsAZ,8/16/1997,AZ,31.48,-111.16,14,49,228
Achalarus casica,AtascosaHighlandsAZ,8/15/1998,AZ,31.48,-111.16,8,53.5,227
Achalarus casica,AtascosaHighlandsAZ,8/14/1999,AZ,31.48,-111.16,6,64,226
Achalarus casica,AtascosaHighlandsAZ,8/19/2000,AZ,31.48,-111.16,20,65,232
Achalarus casica,AtascosaHighlandsAZ,8/18/2001,AZ,31.48,-111.16,3,56,230
Achalarus casica,PatagoniaAZ,8/13/1989,AZ,31.5072,-110.6908,3,65,225
Achalarus casica,PatagoniaAZ,8/6/1991,AZ,31.5072,-110.6908,8,61,218
Achalarus casica,PatagoniaAZ,8/9/1992,AZ,31.5072,-110.6908,3,56.5,222
Achalarus casica,PatagoniaAZ,8/7/1993,AZ,31.5072,-110.6908,9,55,219
Achalarus casica,PatagoniaAZ,8/6/1994,AZ,31.5072,-110.6908,10,75,218
Achalarus casica,PatagoniaAZ,8/13/1995,AZ,31.5072,-110.6908,14,60,225
Achalarus casica,PatagoniaAZ,8/11/1996,AZ,31.5072,-110.6908,1,40,224
Achalarus casica,PatagoniaAZ,8/9/1997,AZ,31.5072,-110.6908,2,51,221
Achalarus casica,PatagoniaAZ,8/8/1998,AZ,31.5072,-110.6908,11,66.5,220
Achalarus casica,PatagoniaAZ,8/9/1999,AZ,31.5072,-110.6908,1,72.5,221
Achalarus casica,PatagoniaAZ,8/12/2000,AZ,31.5072,-110.6908,2,64,225
Achalarus casica,PatagoniaAZ,8/11/2001,AZ,31.5072,-110.6908,11,75,223
Achalarus casica,PatagoniaAZ,8/10/2002,AZ,31.5072,-110.6908,1,47.5,222
Achalarus casica,PatagoniaAZ,8/9/2003,AZ,31.5072,-110.6908,2,43.5,221
Achalarus casica,PatagoniaAZ,8/7/2004,AZ,31.5072,-110.6908,1,38,220
Achalarus casica,PatagoniaAZ,8/5/2006,AZ,31.5072,-110.6908,4,35,217
Achalarus casica,PatagoniaAZ,8/18/2007,AZ,31.5072,-110.6908,1,58,230
Achalarus casica,PatagoniaAZ,8/9/2008,AZ,31.5072,-110.6908,1,56,222
Achalarus casica,PatagoniaAZ,8/8/2009,AZ,31.5072,-110.6908,1,71,220
Achalarus casica,PatagoniaAZ,8/7/2010,AZ,31.5072,-110.6908,1,82,219
Achalarus casica,PatagoniaAZ,8/6/2011,AZ,31.5072,-110.6908,6,79,218
Achalarus casica,PatagoniaAZ,8/11/2012,AZ,31.5072,-110.6908,10,62,224
Achalarus casica,PatagoniaAZ,8/7/2017,AZ,31.5073,-110.7331,3,54,219
Achalarus casica,PatagoniaAZ,8/12/2018,AZ,31.5073,-110.7331,2,62.5,224
Achalarus casica,PortalAZ,8/28/1999,AZ,31.85,-109.1667,4,62,240
Achalarus casica,PortalAZ,7/29/2000,AZ,31.85,-109.1667,7,45,211
Achalarus casica,PortalAZ,7/28/2001,AZ,31.85,-109.1667,5,28.5,209
Achalarus casica,PortalAZ,8/13/2005,AZ,31.85,-109.1667,1,32,225
Achalarus casica,PortalAZ,7/23/2016,AZ,31.85,-109.1667,1,20,205
Achalarus casica,PortalAZ,7/23/2017,AZ,31.85,-109.1667,2,20,204
Achalarus casica,RamseyCanyonAZ,6/24/1982,AZ,31.424,-110.2238,6,33,175
Achalarus casica,RamseyCanyonAZ,8/6/1983,AZ,31.424,-110.2238,2,56,218
Achalarus casica,RamseyCanyonAZ,8/11/1984,AZ,31.424,-110.2238,2,58.5,224
Achalarus casica,RamseyCanyonAZ,8/10/1985,AZ,31.424,-110.2238,1,52,222
Achalarus casica,RamseyCanyonAZ,7/30/1988,AZ,31.424,-110.2238,3,28,212
Achalarus casica,RamseyCanyonAZ,8/6/1989,AZ,31.424,-110.2238,3,61,218
Achalarus casica,RamseyCanyonAZ,8/4/1990,AZ,31.424,-110.2238,1,55,216
Achalarus casica,RamseyCanyonAZ,7/30/1991,AZ,31.424,-110.2238,1,61.5,211
Achalarus casica,RamseyCanyonAZ,7/31/1993,AZ,31.424,-110.2238,3,45.5,212
Achalarus casica,RamseyCanyonAZ,8/6/1995,AZ,31.424,-110.2238,7,70,218
Achalarus casica,RamseyCanyonAZ,8/5/1996,AZ,31.424,-110.2238,1,67.5,218
Achalarus casica,RamseyCanyonAZ,8/2/1997,AZ,31.424,-110.2238,1,58,214
Achalarus casica,RamseyCanyonAZ,8/1/1998,AZ,31.424,-110.2238,3,56.5,213
Achalarus casica,RamseyCanyonAZ,8/5/2000,AZ,31.424,-110.2238,1,56,218
Achalarus casica,RamseyCanyonAZ,8/4/2001,AZ,31.424,-110.2238,2,63,216
Achalarus casica,RamseyCanyonAZ,8/3/2002,AZ,31.424,-110.2238,2,52,215
Achalarus casica,RamseyCanyonAZ,7/31/2004,AZ,31.424,-110.2238,1,43.5,213
Achalarus casica,RamseyCanyonAZ,7/29/2006,AZ,31.424,-110.2238,1,49,210
Achalarus casica,RamseyCanyonAZ,8/11/2007,AZ,31.424,-110.2238,1,50,223
Achalarus casica,RamseyCanyonAZ,8/1/2009,AZ,31.424,-110.2238,3,45,213
Achalarus casica,RamseyCanyonAZ,7/30/2011,AZ,31.424,-110.2238,6,46.5,211
Achalarus casica,RamseyCanyonAZ,8/4/2012,AZ,31.424,-110.2238,2,56,217
Achalarus casica,RamseyCanyonAZ,8/6/2015,AZ,31.424,-110.2238,3,53,218
Achalarus casica,RamseyCanyonAZ,8/6/2018,AZ,31.424,-110.2238,2,59.5,218
Achalarus casica,SabinoCanyonAZ,7/17/2010,AZ,32.3656,-110.7774,3,32,198
Achalarus casica,SabinoCanyonAZ,7/16/2011,AZ,32.3656,-110.7774,11,26.5,197
Achalarus casica,SabinoCanyonAZ,7/16/2016,AZ,32.3656,-110.7774,1,45.5,198
Achalarus casica,SabinoCanyonAZ,7/15/2017,AZ,32.3656,-110.7774,1,38.5,196
