NABAEnglishName,NABAScientificName,NABAFamily,VerifiedBy,Notes
Eversmann's Parnassian,Parnassius eversmanni,Papilionidae,NAM,
Clodius Parnassian,Parnassius clodius,Papilionidae,NAM,
Phoebus Parnassian,Parnassius phoebus,Papilionidae,NAM,
Rocky Mountain' Phoebus Parnassian,Parnassius phoebus smintheus,Papilionidae,NAM,
Sierra Nevada' Phoebus Parnassian,Parnassius phoebus behri,Papilionidae,NAM,
Pipevine Swallowtail,Battus philenor,Papilionidae,NAM,
Polydamas Swallowtail,Battus polydamas,Papilionidae,NAM,
Zebra Swallowtail,Eurytides marcellus,Papilionidae,NAM,
Dark-kite Swallowtail,Eurytides philolaus,Papilionidae,NAM,
Black Swallowtail,Papilio polyxenes,Papilionidae,NAM,
Ozark Swallowtail,Papilio joanae,Papilionidae,NAM,
Short-tailed Swallowtail,Papilio brevicauda,Papilionidae,NAM,
Old World Swallowtail,Papilio machaon,Papilionidae,NAM,
Baird's' Old World Swallowtail,Papilio machaon bairdii,Papilionidae,NAM,
Oregon' Old World Swallowtail,Papilio machaon oregonius,Papilionidae,NAM,
Anise Swallowtail,Papilio zelicaon,Papilionidae,NAM,
Indra Swallowtail,Papilio indra,Papilionidae,NAM,
Giant Swallowtail,Papilio cresphontes,Papilionidae,NAM,
Schaus' Swallowtail,Papilio aristodemus,Papilionidae,NAM,
Ornythion Swallowtail,Papilio ornythion,Papilionidae,NAM,
Eastern Tiger Swallowtail,Papilio glaucus,Papilionidae,NAM,
Canadian Tiger Swallowtail,Papilio canadensis,Papilionidae,NAM,
Western Tiger Swallowtail,Papilio rutulus,Papilionidae,NAM,
Two-tailed Swallowtail,Papilio multicaudata,Papilionidae,NAM,
Pale Swallowtail,Papilio eurymedon,Papilionidae,NAM,
Spicebush Swallowtail,Papilio troilus,Papilionidae,NAM,
Palamedes Swallowtail,Papilio palamedes,Papilionidae,NAM,
Ruby-spotted Swallowtail,Papilio anchisiades,Papilionidae,NAM,
Pine White,Neophasia menapia,Pieridae,NAM,
Chiricahua White,Neophasia terlootii,Pieridae,NAM,
Florida White,Appias drusilla,Pieridae,NAM,
Becker's White,Pontia beckerii,Pieridae,NAM,
Spring White,Pontia sisymbrii,Pieridae,NAM,
Checkered White,Pontia protodice,Pieridae,NAM,
Western White,Pontia occidentalis,Pieridae,NAM,
Mustard White,Pieris napi,Pieridae,NAM,
Veined' Mustard White,Pieris napi oleracea,Pieridae,NAM,
Margined' Mustard White,Pieris napi marginalis,Pieridae,NAM,
Cabbage White,Pieris rapae,Pieridae,NAM,
Great Southern White,Ascia monuste,Pieridae,NAM,
Giant White,Ganyra josephina,Pieridae,NAM,
Large Marble,Euchloe ausonides,Pieridae,NAM,
Northern Marble,Euchloe creusa,Pieridae,NAM,
Pearly Marble,Euchloe hyantis,Pieridae,NAM,
California' Pearly Marble,Euchloe hyantis hyantis,Pieridae,NAM,
Desert' Pearly Marble,Euchloe hyantis lotta,Pieridae,NAM,
