,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
0,,,,,,,,,,249,234
Achalarus casica,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Desert cloudywing,Summer,2019 Summer,2,2
Achalarus casica,PortalAZ,2019,07/25/2019,AZ,4,206,Desert cloudywing,Summer,2019 Summer,1,1
Achalarus casica,PortalAZ,2020,08/02/2020,AZ,21,215,Desert cloudywing,Summer,2020 Summer,1,1
Achalarus casica,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Desert cloudywing,Summer,2019 Summer,4,4
Achalarus casica,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Desert cloudywing,Summer,2020 Summer,4,4
Achalarus casica,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Desert cloudywing,Summer,2019 Summer,1,1
Achalarus casica,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Desert cloudywing,Summer,2019 Summer,4,4
Achalarus casica,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Desert cloudywing,Summer,2020 Summer,2,2
Adelpha californica,Cottonwood,2019,08/29/2019,AZ,11,241,California sister,Summer,2019 Summer,4,4
Adelpha californica,Cottonwood,2020,08/26/2020,AZ,20,239,California sister,Summer,2020 Summer,2,2
Adelpha californica,PatagoniaAZ,2019,08/06/2019,AZ,71,218,California sister,Summer,2019 Summer,3,3
Adelpha californica,PortalAZ,2019,07/25/2019,AZ,4,206,California sister,Summer,2019 Summer,6,6
Adelpha californica,PortalAZ,2020,08/02/2020,AZ,21,215,California sister,Summer,2020 Summer,27,27
Adelpha californica,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,California sister,Summer,2019 Summer,13,13
Adelpha californica,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,California sister,Summer,2020 Summer,113,113
Adelpha californica,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,California sister,Summer,2019 Summer,6,6
Adelpha californica,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,California sister,Summer,2020 Summer,1,1
Adelpha californica,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,California sister,Summer,2019 Summer,57,57
Adelpha californica,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,California sister,Fall,2019 Fall,56,56
Adelpha californica,SantaRitaMountains,2020,07/31/2020,AZ,60,213,California sister,Summer,2020 Summer,63,63
Adelpha californica,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,California sister,Fall,2020 Fall,115,115
Adelpha eulalia,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Arizona sister,Fall,2019 Fall,2,1
Agathymus aryxna,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Arizona giant skipper,Fall,2020 Fall,4,4
Agathymus aryxna,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Arizona giant skipper,Fall,2019 Fall,11,11
Agathymus aryxna,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Arizona giant skipper,Fall,2020 Fall,25,25
Agraulis vanillae,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Gulf fritillary,Summer,2019 Summer,5,5
Agraulis vanillae,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Gulf fritillary,Summer,2019 Summer,5,5
Agraulis vanillae,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Gulf fritillary,Summer,2020 Summer,5,5
Agraulis vanillae,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Gulf fritillary,Summer,2019 Summer,1,1
Agraulis vanillae,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Gulf fritillary,Spring,2020 Spring,2,2
Agraulis vanillae,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Gulf fritillary,Fall,2019 Fall,1,1
Agraulis vanillae,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Gulf fritillary,Summer,2020 Summer,1,1
Agraulis vanillae,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Gulf fritillary,Fall,2020 Fall,1,1
Amblyscirtes aenus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Bronze roadside skipper,Summer,2019 Summer,14,14
Amblyscirtes aenus,PortalAZ,2019,07/25/2019,AZ,4,206,Bronze roadside skipper,Summer,2019 Summer,14,14
Amblyscirtes aenus,PortalAZ,2020,08/02/2020,AZ,21,215,Bronze roadside skipper,Summer,2020 Summer,7,7
Amblyscirtes aenus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Bronze roadside skipper,Summer,2019 Summer,19,19
Amblyscirtes aenus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Bronze roadside skipper,Summer,2020 Summer,16,16
