Year,Month,Day,DataSource,Site,AcceptedName,ButterflyCount,HoursObserved
1980,7,19,Matt,AtascosaHighlandsAZ,Achalarus casica,1,26
1982,6,20,Matt,AtascosaHighlandsAZ,Achalarus casica,1,19
1983,7,30,Matt,AtascosaHighlandsAZ,Achalarus casica,4,26
1984,8,5,Matt,AtascosaHighlandsAZ,Achalarus casica,1,41
1985,8,17,Matt,AtascosaHighlandsAZ,Achalarus casica,2,22
1986,8,30,Matt,AtascosaHighlandsAZ,Achalarus casica,1,35
1987,8,22,Matt,AtascosaHighlandsAZ,Achalarus casica,2,35
1988,8,13,Matt,AtascosaHighlandsAZ,Achalarus casica,4,33.5
1989,8,20,Matt,AtascosaHighlandsAZ,Achalarus casica,5,56
1990,8,18,Matt,AtascosaHighlandsAZ,Achalarus casica,4,50
1991,8,10,Matt,AtascosaHighlandsAZ,Achalarus casica,1,43.5
1992,8,16,Matt,AtascosaHighlandsAZ,Achalarus casica,6,62
1993,8,14,Matt,AtascosaHighlandsAZ,Achalarus casica,2,45
1994,8,13,Matt,AtascosaHighlandsAZ,Achalarus casica,5,28
1995,8,20,Matt,AtascosaHighlandsAZ,Achalarus casica,6,51
1996,8,18,Matt,AtascosaHighlandsAZ,Achalarus casica,17,42
1997,8,16,Matt,AtascosaHighlandsAZ,Achalarus casica,14,49
1998,8,15,Matt,AtascosaHighlandsAZ,Achalarus casica,8,53.5
1999,8,14,Matt,AtascosaHighlandsAZ,Achalarus casica,6,64
2000,8,19,Matt,AtascosaHighlandsAZ,Achalarus casica,20,65
2001,8,18,Matt,AtascosaHighlandsAZ,Achalarus casica,3,56
1989,8,13,Matt,PatagoniaAZ,Achalarus casica,3,65
1991,8,6,Matt,PatagoniaAZ,Achalarus casica,8,61
1992,8,9,Matt,PatagoniaAZ,Achalarus casica,3,56.5
1993,8,7,Matt,PatagoniaAZ,Achalarus casica,9,55
1994,8,6,Matt,PatagoniaAZ,Achalarus casica,10,75
1995,8,13,Matt,PatagoniaAZ,Achalarus casica,14,60
1996,8,11,Matt,PatagoniaAZ,Achalarus casica,1,40
1997,8,9,Matt,PatagoniaAZ,Achalarus casica,2,51
1998,8,8,Matt,PatagoniaAZ,Achalarus casica,11,66.5
1999,8,9,Matt,PatagoniaAZ,Achalarus casica,1,72.5
2000,8,12,Matt,PatagoniaAZ,Achalarus casica,2,64
2001,8,11,Matt,PatagoniaAZ,Achalarus casica,11,75
2002,8,10,Matt,PatagoniaAZ,Achalarus casica,1,47.5
2003,8,9,Matt,PatagoniaAZ,Achalarus casica,2,43.5
2004,8,7,Matt,PatagoniaAZ,Achalarus casica,1,38
2006,8,5,Matt,PatagoniaAZ,Achalarus casica,4,35
2007,8,18,Matt,PatagoniaAZ,Achalarus casica,1,58
2008,8,9,Matt,PatagoniaAZ,Achalarus casica,1,56
2009,8,8,Matt,PatagoniaAZ,Achalarus casica,1,71
2010,8,7,Matt,PatagoniaAZ,Achalarus casica,1,82
2011,8,6,Matt,PatagoniaAZ,Achalarus casica,6,79
2012,8,11,Matt,PatagoniaAZ,Achalarus casica,10,62
2017,8,7,Matt,PatagoniaAZ,Achalarus casica,3,54
2018,8,12,Matt,PatagoniaAZ,Achalarus casica,2,62.5
1999,8,28,Matt,PortalAZ,Achalarus casica,4,62
2000,7,29,Matt,PortalAZ,Achalarus casica,7,45
2001,7,28,Matt,PortalAZ,Achalarus casica,5,28.5
2005,8,13,Matt,PortalAZ,Achalarus casica,1,32
2016,7,23,Matt,PortalAZ,Achalarus casica,1,20
2017,7,23,Matt,PortalAZ,Achalarus casica,2,20
1982,6,24,Matt,RamseyCanyonAZ,Achalarus casica,6,33
1983,8,6,Matt,RamseyCanyonAZ,Achalarus casica,2,56
1984,8,11,Matt,RamseyCanyonAZ,Achalarus casica,2,58.5
1985,8,10,Matt,RamseyCanyonAZ,Achalarus casica,1,52
1988,7,30,Matt,RamseyCanyonAZ,Achalarus casica,3,28
1989,8,6,Matt,RamseyCanyonAZ,Achalarus casica,3,61
1990,8,4,Matt,RamseyCanyonAZ,Achalarus casica,1,55
1991,7,30,Matt,RamseyCanyonAZ,Achalarus casica,1,61.5
1993,7,31,Matt,RamseyCanyonAZ,Achalarus casica,3,45.5
1995,8,6,Matt,RamseyCanyonAZ,Achalarus casica,7,70
1996,8,5,Matt,RamseyCanyonAZ,Achalarus casica,1,67.5
1997,8,2,Matt,RamseyCanyonAZ,Achalarus casica,1,58
1998,8,1,Matt,RamseyCanyonAZ,Achalarus casica,3,56.5
2000,8,5,Matt,RamseyCanyonAZ,Achalarus casica,1,56
2001,8,4,Matt,RamseyCanyonAZ,Achalarus casica,2,63
2002,8,3,Matt,RamseyCanyonAZ,Achalarus casica,2,52
2004,7,31,Matt,RamseyCanyonAZ,Achalarus casica,1,43.5
2006,7,29,Matt,RamseyCanyonAZ,Achalarus casica,1,49
2007,8,11,Matt,RamseyCanyonAZ,Achalarus casica,1,50
2009,8,1,Matt,RamseyCanyonAZ,Achalarus casica,3,45
2011,7,30,Matt,RamseyCanyonAZ,Achalarus casica,6,46.5
2012,8,4,Matt,RamseyCanyonAZ,Achalarus casica,2,56
2015,8,6,Matt,RamseyCanyonAZ,Achalarus casica,3,53
2018,8,6,Matt,RamseyCanyonAZ,Achalarus casica,2,59.5
2010,7,17,Matt,SabinoCanyonAZ,Achalarus casica,3,32
2011,7,16,Matt,SabinoCanyonAZ,Achalarus casica,11,26.5
2016,7,16,Matt,SabinoCanyonAZ,Achalarus casica,1,45.5
2017,7,15,Matt,SabinoCanyonAZ,Achalarus casica,1,38.5
2018,7,31,Matt,SabinoCanyonAZ,Achalarus casica,1,33.5
