old,new
Achalarus casica,Achalarus casica
Adelpha bredowii,Adelpha bredowii
Adopaeoides prittwitzi,Adopaeoides prittwitzi
Agathymus aryxna,Agathymus aryxna
Agraulis vanillae,Agraulis vanillae
Agriades cassiope,Agriades cassiope
Agriades glandon,Agriades glandon
Agriades glandon franklinii,Agriades glandon
Agriades glandon glandon,Agriades glandon
Agriades glandon podarce,Agriades glandon
Amblyscirtes aenus,Amblyscirtes aenus
Amblyscirtes cassus,Amblyscirtes cassus
Amblyscirtes elissa,Amblyscirtes elissa
Amblyscirtes eos,Amblyscirtes eos
Amblyscirtes exoteria,Amblyscirtes exoteria
Amblyscirtes fimbriata,Amblyscirtes fimbriata
Amblyscirtes nereus,Amblyscirtes nereus
Amblyscirtes nysa,Amblyscirtes nysa
Amblyscirtes oslari,Amblyscirtes oslari
Amblyscirtes phylace,Amblyscirtes phylace
Amblyscirtes texanae,Amblyscirtes texanae
Amblyscirtes tolteca,Amblyscirtes tolteca
Amblyscirtes vialis,Amblyscirtes vialis
Anaea aidea,Anaea aidea
Anaea andria,Anaea andria
Anatrytone logan,Anatrytone logan
Ancyloxypha arene,Ancyloxypha arene
Anteos clorinde,Anteos clorinde
Anthocharis cethura,Anthocharis cethura
Anthocharis cethura pima,Anthocharis cethura
Anthocharis lanceolata,Anthocharis lanceolata
Anthocharis sara,Anthocharis sara
Anthocharis sara sara,Anthocharis sara
Anthocharis sara stella,Anthocharis sara
Apodemia hepburni,Apodemia hepburni
Apodemia mormo,Apodemia mormo
Apodemia mormo duryi,Apodemia mormo
Apodemia mormo virgulti,Apodemia mormo
Apodemia nais,Apodemia nais
Apodemia palmeri,Apodemia palmeri
Appias drusilla,Appias drusilla
Arawacus jada,Arawacus jada
Ascia monuste,Ascia monuste
Asterocampa celtis,Asterocampa celtis
Asterocampa clyton,Asterocampa clyton
Asterocampa leilia,Asterocampa leilia
Atalopedes campestris,Atalopedes campestris
Atlides halesus,Atlides halesus
Atrytone arogos,Atrytone arogos
Atrytonopsis cestus,Atrytonopsis cestus
Atrytonopsis edwardsii,Atrytonopsis edwardsii
Atrytonopsis hianna,Atrytonopsis hianna
Atrytonopsis lunus,Atrytonopsis lunus
Atrytonopsis pittacus,Atrytonopsis pittacus
Atrytonopsis python,Atrytonopsis python
Atrytonopsis vierecki,Atrytonopsis vierecki
Autochton cellus,Autochton cellus
Battus philenor,Battus philenor
Boloria bellona,Boloria bellona
Boloria chariclea,Boloria chariclea
Boloria epithore,Boloria epithore
Boloria eunomia,Boloria eunomia
Boloria freija,Boloria freija
Boloria frigga,Boloria frigga
Boloria improba acrocnema,Boloria improba
Boloria kriemhild,Boloria kriemhild
Boloria montinus (formerly titania),Boloria montinus
Boloria selene,Boloria selene
Brephidium exile,Brephidium exile
Cabares potrillo,Cabares potrillo
Calephelis arizonensis,Calephelis arizonensis
Calephelis nemesis,Calephelis nemesis
Calephelis perditalis,Calephelis perditalis
Calephelis wrighti,Calephelis wrighti
Callophrys augustinus,Callophrys augustinus
Callophrys dumetorum,Callophrys dumetorum
Callophrys dumetorum affinis,Callophrys dumetorum
Callophrys dumetorum apama,Callophrys dumetorum
Callophrys dumetorum dumetorum,Callophrys dumetorum
Callophrys eryphon,Callophrys eryphon
Callophrys fotis,Callophrys fotis
Callophrys gryneus,Callophrys gryneus
Callophrys gryneus loki,Callophrys gryneus
Callophrys gryneus muiri,Callophrys gryneus
Callophrys gryneus nelsoni,Callophrys gryneus
Callophrys gryneus siva,Callophrys gryneus
Callophrys johnsoni,Callophrys johnsoni
Callophrys mossii,Callophrys mossii
Callophrys polios,Callophrys polios
Callophrys sheridanii,Callophrys sheridanii
Callophrys sheridanii lemberti,Callophrys sheridanii
Callophrys sheridanii sheridanii,Callophrys sheridanii
Callophrys spinetorum,Callophrys spinetorum
Callophrys xami,Callophrys xami
Calpodes ethlius,Calpodes ethlius
Carterocephalus palaemon,Carterocephalus palaemon
Celastrina ladon,Celastrina ladon
Celastrina ladon humulus,Celastrina ladon
Celastrina ladon ladon,Celastrina ladon
Celastrina ladon neglecta,Celastrina ladon
Celastrina neglectamajor,Celastrina neglectamajor
Celotes nessus,Celotes nessus
Cercyonis meadii,Cercyonis meadii
Cercyonis oetus,Cercyonis oetus
Cercyonis pegala,Cercyonis pegala
Cercyonis sthenele,Cercyonis sthenele
Chioides catillus,Chioides catillus
Chioides zilpa,Chioides zilpa
Chiomara asychis,Chiomara asychis
Chlosyne acastus,Chlosyne acastus
Chlosyne californica,Chlosyne californica
Chlosyne cyneas,Chlosyne cyneas
Chlosyne fulvia,Chlosyne fulvia
Chlosyne gabbii,Chlosyne gabbii
Chlosyne gorgone,Chlosyne gorgone
Chlosyne hoffmanni,Chlosyne hoffmanni
Chlosyne lacinia,Chlosyne lacinia
Chlosyne leanira,Chlosyne leanira
Chlosyne nycteis,Chlosyne nycteis
Chlosyne palla,Chlosyne palla
Chlosyne rosita,Chlosyne rosita
Chlosyne theona,Chlosyne theona
Chlosyne whitneyi,Chlosyne whitneyi
Codatractus arizonensis,Codatractus arizonensis
Codatractus mysie,Codatractus mysie
Coenonympha,Coenonympha
Coenonympha haydenii,Coenonympha haydenii
Coenonympha tullia,Coenonympha tullia
