site,lat,long,urban1mi,urban5mi,urban25mi,ag1mi,ag5mi,ag25mi,elevation
AikenCanyonCO,38.62,-104.5,0,0.004444,0.080668,0,0.013333,0.00922,1651
AlbuquerqueNM,35.13,-106.43,0,0,0.091625,0,0,0.036611,2698
AnzaBorregoDesertStateParkCA,33.27,-116.42,0.04,0.048889,0.025115,0,0.004444,0.03962,262
AshlandOR,42.13,-122.6,0,0.022222,0.039505,0.12,0.022222,0.047992,725
AtascosaHighlandsAZ,31.48,-111.16,0,0,0.018634,0,0,0.004629,1297
BearLakeNationalWildlifeRefuge,42.1714,-111.3245,0,0,0.008719,0,0,0.073955,1807
BeartoothButteWY,44.93,-109.6,0,0,0.003086,0,0,0.01223,2792
BeniciaCA,38.0691,-122.1847,0.52,0.546667,0.242005,0.04,0.004444,0.084565,4
BennetHills,43.0833,-115.0663,0,0,0.009336,0,0,0.168088,1290
BentonCountyWA,46.25,-119.75,0.12,0.093333,0.046063,0.84,0.813333,0.378573,257
Berger,42.4409,-114.7184,0,0.008889,0.021373,0,0,0.286524,1322
BerkeleyCA,37.872,-122.2577,0.88,0.755556,0.266386,0,0.004444,0.01736,98
BidwellParkCA,39.73,-121.86,0.92,0.591111,0.03989,0.08,0.395556,0.382007,55
BigBearCA,34.2432,-116.8249,0.48,0.284444,0.083446,0,0,0.012075,2141
BigChicoCreekEcologicalReserve,39.8445,-121.7021,0,0.008889,0.031866,0,0,0.234867,473
BigCreek,36.0732,-121.5132,0,0.013333,0.009953,0,0,0.05347,1431
BlackfootValleyMT,47.08,-112.92,0,0,0.003009,0,0,0.0152,1370
BlueLakeCA,40.87,-124,0.08,0.075556,0.040353,0.12,0.035556,0.011766,28
BoiseFrontID,43.7127,-116.144,0,0,0.0733,0,0,0.136067,1456
BorregoSpringsCA,33.25,-116.37,0.32,0.137778,0.02334,0,0.022222,0.039968,174
BoyceThompsonArboretum,33.295,-111.0946,0.32,0.057778,0.016435,0,0,0.019637,879
BroomfieldCounty,39.9195,-105.0678,0.96,0.72,0.267389,0,0.048889,0.216774,1628
BrowderRidgeOR,44.3158,-122.0855,0,0,0.005285,0,0,0.000733,1400
BryceCanyonUT,37.6055,-112.1576,0,0.004444,0.008372,0,0.013333,0.00733,2475
ButterbredtJawboneKelso,35.4306,-118.2188,0,0,0.018479,0,0,0.002045,1388
ButterflyValley,40.0179,-120.991,0,0.026667,0.012654,0,0,0.004359,1214
CalWoodOutdoorLearningCenterCO,40.15,-105.3902,0,0.004444,0.123876,0,0,0.103314,2381
CamasNationalWildlifeRefugeID,43.9653,-112.2643,0,0.017778,0.01304,0.36,0.186667,0.275028,1463
CarlsbadNM,32.45,-104.3,0,0.075556,0.017476,0,0.004444,0.018325,1010
CascadeSiskiyouNationalMonument,42.123,-122.4644,0,0.013333,0.033795,0,0,0.052892,1383
CastleRocksStatePark,42.0594,-113.6803,0,0,0.004514,0,0,0.105513,2306
ChamaValleyNM,36.8,-106.55,0,0,0.004012,0.04,0.071111,0.006481,2402
ChatfieldNaturePreserveCO,39.88,-105.17,0,0.168889,0.271363,0,0.013333,0.143282,1725
CheyenneWYCO,41.07,-104.9,0,0.035556,0.017785,0,0,0.047606,1946
ChiefJosephHighway,44.7268,-109.374,0,0.004444,0.007909,0,0,0.039775,2353
ChumstickMtn,47.6507,-120.4509,0.04,0.035556,0.032445,0,0,0.096755,1750
ClatsopOR,46.0167,-123.7833,0.04,0.04,0.028741,0,0,0.010339,329
ColterCanyonGrantTetonNationalParkWY,43.93,-110.73,0,0,0.00625,0,0,0.043054,2706
CosumnesRiverCA,38.3503,-121.4358,0,0.106667,0.183403,0.92,0.746667,0.495776,7
Cottonwood,34.738,-112.0353,0.68,0.288889,0.030631,0,0.017778,0.001042,1059
CottonwoodPassGunnisonChaffeeCountiesCO,38.83,-106.41,0,0.008889,0.006828,0,0,0.011766,3670
CottonwoodSpringCA,33.7441,-115.8173,0,0.004444,0.01736,0,0,0.042282,939
CratersoftheMoonID,43.43,-113.62,0,0.013333,0.002932,0,0,0.044211,1779
DardenellesCA,38.3411,-119.8333,0.04,0.008889,0.005748,0,0,0.00652,1761
DowMountainWA,47.43,-123.18,0.04,0.08,0.057559,0,0,0.012268,352
ElDoradoNatureCenterCA,33.8095,-118.0869,0.92,0.955556,0.508352,0,0.022222,0.006095,7
EscalanteDesert,38.2,-113.25,0.04,0.004444,0.006674,0,0,0.016357,1575
EugeneOR,44.0335,-123.0886,1,0.777778,0.054396,0,0.022222,0.205741,131
FallCityWA,47.57,-121.92,0.28,0.16,0.239651,0.2,0.128889,0.035724,31
FiveValleysMT,46.9145,-114.0312,0.48,0.284444,0.019019,0,0.115556,0.036148,1018
FortCollinsCO,40.57,-105.08,1,0.857778,0.070329,0,0.044444,0.22746,1525
FourCornersWY,44.08,-104.14,0.04,0.004444,0.006906,0.04,0.102222,0.006134,1783
GiantSequoiaNationalMonumentSouth,36,-118.4833,0,0.017778,0.005748,0,0,0.00108,1318
GilpinCo,39.8309,-105.4105,0.04,0.013333,0.178002,0,0,0.04452,2510
GilpinCounty(uppercircle)COsplit,39.97,-105.5,0.16,0.057778,0.113653,0,0,0.038502,2536
GlassMountain,37.784,-118.777,0,0,0.006211,0,0,0.002623,3086
GlenHavenCO,40.48,-105.47,0,0,0.051425,0,0,0.058987,2415
GoodingCityofRocksID,43.1689,-114.6588,0.04,0.004444,0.010223,0,0.026667,0.174106,1611
GoodingCityofRocksNationalReserve,42.0594,-113.6803,0,0,0.004514,0,0,0.105513,2306
GospelHumpID,45.6167,-115.983,0,0,0.002662,0,0,0.018402,2239
GothictoBrushCreekCowCampCO,38.93,-106.93,0,0.022222,0.006944,0,0,0.010493,3110
GrandCanyonDesertView,36.0244,-111.8554,0,0,0.003318,0,0,0,2212
GrandCanyonNorthRim,36.1954,-112.0374,0,0,0.002006,0,0,0,1521
