"species","medYear","probNeg","probPos","gelRub","up","low","predCorr"
"Abaeis nicippe",-0.08334,0.9811,0.0189,1.00034124190264,-0.00389137555484706,-0.158854404923763,0.593625085857646
"Aglais milberti",-0.040639,0.9415,0.0585,1.00004161706152,0.0120611365177632,-0.0933635808793538,0.472726161829298
"Agraulis vanillae",0.082345,0.0217333333333333,0.978266666666667,0.999972006290192,0.163361350515344,0.00585286696140695,0.539231928487839
"Anthocharis sara",0.0701,0.0273333333333333,0.972666666666667,1.00021625766863,0.1421134818399,-0.00219336847935359,0.519044471328259
"Apodemia mormo",0.015627,0.313933333333333,0.686066666666667,1.00000376439354,0.0852923360479346,-0.0543991863959455,0.152733710321686
"Apodemia palmerii",-0.134408,0.9864,0.0136,1.00001466416341,-0.019579147758277,-0.248404103571894,0.640607626286316
"Apyrrothrix araxes",-0.180881,0.9917,0.0083,0.999993190002029,-0.0473055401905353,-0.31474552952189,0.738079922205964
"Asterocampa leilia",-0.04378,0.7822,0.2178,1.00017982664035,0.0767779893870626,-0.163683978495496,0.246981092589882
"Atalopedes campestris",-0.049212,0.852,0.148,1.00228268623276,0.0467547953273442,-0.15285712744517,0.362657147052675
"Atlides halesus",-0.099809,0.9918,0.0082,1.00040800726587,-0.0246307186750646,-0.175586869116897,0.68725073295648
"Autochton cellus",-0.063242,0.9447,0.0553,1.00002701039471,0.0142482269094641,-0.153052942194555,0.558985367714592
"Battus philenor",0.058875,0.00263333333333333,0.997366666666667,1.00009307520991,0.0978382993927162,0.0207763136232593,0.728819604383278
"Boloria chariclea",-0.161627,0.9896,0.0104,1.00002395900321,-0.0306704199770813,-0.287454621897809,0.680609621823684
"Boloria epithore",-0.096097,0.986166666666667,0.0138333333333333,1.00008016990532,-0.0135017380794399,-0.18051549864929,0.595996125568367
"Brephidium exilis",0.001445,0.476933333333333,0.523066666666667,1.0007547764257,0.0549748366773776,-0.0512896047597168,-0.0248624456306696
"Calephelis nemesis",0.005481,0.4495,0.5505,0.99998975981891,0.102831123694018,-0.0886738958317632,-0.00108627962440601
"Callophrys dumetorum",-0.06733,0.9818,0.0182,1.00239149816967,-0.00255439017070305,-0.126799653075541,0.593512671519145
"Callophrys spinetorum",-0.127631,0.9996,4e-04,1.00013153167283,-0.0655290566323113,-0.192754666739505,0.810300343453181
"Celastrina ladon",0.005516,0.4273,0.5727,1.00006914056177,0.0685396631089976,-0.0551859022806107,0.042815123118007
"Cercyonis meadi",-0.264821,0.9999,1e-04,1.00047777382287,-0.175711946569394,-0.360218503445254,0.911378469505665
"Cercyonis oetus",-0.068619,0.981766666666667,0.0182333333333333,1.00049822968207,-0.00285042894704562,-0.128273073279327,0.615084716781448
"Cercyonis pegala",0.037903,0.119233333333333,0.880766666666667,1.00702831152039,0.107240862075891,-0.0263186021360873,0.389230852241353
"Cercyonis sthenele",-0.076663,0.989533333333333,0.0104666666666667,1.00004712932415,-0.0162086151647585,-0.140896312596026,0.639100300533867
"Chlosyne acastus",-0.090217,0.959333333333333,0.0406666666666667,0.999999650534895,0.0132574755597635,-0.192240882190262,0.528482490906673
"Chlosyne hoffmanni",-0.172667,0.998433333333333,0.00156666666666667,0.999996929213022,-0.0727417289000852,-0.272576987485997,0.792164389795398
"Chlosyne lacinia",-0.099532,0.978766666666667,0.0212333333333333,1.00025509359136,-0.00340131860871118,-0.194862223775577,0.592432182243264
"Chlosyne palla",0.024066,0.336566666666667,0.663433333333333,1.00008051378754,0.142512645578698,-0.10054491605169,0.0961301986806763
"Coenonympha tullia",0.096629,0.0153333333333333,0.984666666666667,1.000215376818,0.185222178856551,0.0149855211701833,0.5584823016564
"Colias eurytheme",0.045349,0.0423333333333333,0.957666666666667,0.99999878589223,0.0988250982794574,-0.00497671820241927,0.461684740811929
"Colias philodice",-0.013848,0.6001,0.3999,0.999990597047434,0.108165544058081,-0.13771361997277,0.103901286308834
"Copaeodes aurantiaca",-0.116546,0.998033333333333,0.00196666666666667,1.00009102259092,-0.0482442008309236,-0.186604741852451,0.778022590730426
