"lat","lon","elev"
37.851772,-122.190447,393
36.818938,-121.6678,77
37.918615,-121.926455,177
31.919757,-109.263802,2426
36.94955,-122.056703,0
33.189944,-116.321888,242
37.432817,-122.169638,28
40.668506,-111.846299,1323
41.283813,-121.536655,1167
33.798607,-111.799023,835
40.551715,-111.695974,2738
32.731208,-117.15147,67
31.555216,-110.349922,1494
34.01788,-118.287834,65
34.065225,-118.441787,117
32.876953,-118.434891,548
37.924867,-121.992334,133
34.295124,-118.0141,1644
37.420872,-122.019478,0
32.998147,-105.664148,2492
31.725112,-110.880444,1484
36.364017,-120.830453,985
33.870989,-118.085665,22
37.714768,-122.425585,71
39.712073,-120.671082,1885
38.452548,-122.721615,48
36.963674,-122.030777,1
38.947786,-104.89252,2342
32.791155,-117.078074,85
39.947183,-105.028711,1610
32.401287,-106.607357,1551
43.823917,-110.676427,2138
40.04296,-120.86428,1735
37.088568,-122.067421,151
38.621225,-104.887306,1976
31.599819,-111.044494,986
37.863478,-121.929745,676
38.534976,-121.749649,19
39.292533,-121.192681,268
34.017888,-118.288102,65
32.700967,-117.177308,0
42.159512,-122.584032,815
38.457977,-122.694883,60
36.048477,-112.140879,2112
36.953101,-122.056321,16
46.813953,-117.021132,873
37.806529,-122.426834,24
35.265807,-114.76546,1276
38.448631,-122.703788,55
34.281852,-119.198013,102
37.981794,-105.0739,2700
34.128192,-118.209122,182
37.037225,-121.416008,348
37.356635,-122.184714,388
35.889247,-106.498472,2636
31.472552,-110.352808,1677
37.732957,-122.502955,0
34.312263,-118.135762,918
40.402271,-116.116232,1584
37.476985,-122.291512,112
34.035875,-116.181493,1237
38.015191,-121.286,5
43.24916,-122.22786,1291
37.022531,-122.085357,338
34.065327,-118.441628,117
38.648651,-121.208158,42
33.977484,-118.231575,53
34.843686,-111.766986,1271
34.410984,-119.844011,19
34.129045,-118.114524,215
38.047079,-122.221267,63
32.949341,-105.748349,2685
32.947712,-105.751507,2650
37.138677,-105.215421,3614
42.421885,-122.905508,379
35.033659,-106.374191,2140
32.554171,-117.087293,9
36.515839,-114.417281,379
37.553283,-122.085435,0
31.506283,-110.317898,1531
33.824856,-118.435569,0
37.846185,-121.805429,548
31.766868,-110.857479,1256
32.417936,-110.917454,820
44.913746,-120.410328,471
38.513154,-122.094305,66
44.779978,-110.737276,2374
37.781322,-122.219484,17
34.519844,-116.52396,863
32.56865,-107.920575,1523
32.309193,-110.720467,1121
34.430865,-119.299561,179
34.114135,-117.7144,411
32.323203,-106.573363,2152
39.792819,-104.974192,1566
32.323087,-106.573272,2152
35.183363,-111.585424,2093
31.905008,-109.241936,2066
40.419785,-121.480903,2062
34.029145,-119.700405,0
39.3643,-120.089702,1833
36.991343,-121.922584,60
37.439596,-122.092976,-1
46.122689,-123.876732,55
37.882228,-122.471449,0
32.231782,-110.953893,745
38.776716,-119.82257,1716
37.779747,-122.472572,57
34.01758,-118.288124,65
32.748755,-117.229095,19
35.130204,-106.683043,1518
33.937575,-111.710045,713
34.275362,-118.166061,1133
37.883846,-121.97197,278
34.204025,-118.121087,568
46.85684,-120.4953,583
38.163988,-119.154152,2256
31.445458,-110.315602,1747
32.798315,-109.725799,936
34.187746,-118.287376,248
37.553261,-122.091162,0
37.756356,-122.471767,188
32.370888,-110.700192,1804
35.182252,-111.584141,2118
39.2719,-120.121369,1995
46.063515,-112.452734,2017
33.286019,-116.390984,197
37.116982,-122.268645,160
36.066323,-115.462932,1195
35.965533,-111.942575,2219
46.745579,-116.989854,817
39.433672,-120.631369,2066
34.17,-116.562,1425
37.816137,-122.04475,336
37.049808,-121.798328,382
33.970184,-117.327339,326
34.587663,-117.065686,1209
40.750275,-111.920113,1290
31.431981,-111.188517,1260
36.434247,-115.37465,878
31.798526,-110.783765,1417
37.288437,-122.077219,177
37.895728,-122.289688,36
34.019089,-116.112099,1328
37.406509,-122.228977,190
33.778653,-118.331519,117
33.359067,-105.682322,2154
38.054236,-122.228939,0
32.827203,-117.195855,103
36.566837,-118.76915,2001
34.099103,-118.732133,219
33.809677,-118.315047,27
37.870069,-121.923181,783
36.05961,-112.109519,2169
41.581021,-120.247229,2013
32.785224,-116.451011,1395
37.997353,-122.984905,91
32.858573,-116.917126,124
37.676021,-122.410612,209
36.510712,-121.189016,396
43.312222,-116.282662,940
32.33908,-110.981805,768
39.675522,-107.699495,2034
34.054979,-118.512562,129
33.962936,-117.38704,261
32.840912,-117.033622,120
39.971672,-105.285869,2035
37.966608,-122.748607,368
41.635864,-112.014444,2804
31.443627,-110.319499,1918
31.453343,-110.376018,1947
37.87242,-121.917193,783
31.894192,-109.166014,1565
33.776297,-118.053872,9
32.840805,-117.031815,109
39.225611,-114.825752,1950
38.5844,-122.69412,328
37.691523,-122.053914,104
38.037331,-121.374175,0
34.704369,-118.52318,1294
34.133389,-117.852536,257
38.274923,-120.308279,1469
40.01856,-120.104057,1317
48.694218,-113.723946,2045
34.211652,-118.019489,747
34.274638,-118.613215,336
38.508732,-122.88554,82
33.664428,-117.842276,5
34.366033,-117.760585,2754
37.265995,-122.161767,460
32.6428,-105.69014,2172
46.178612,-123.977501,0
40.854546,-124.096175,0
36.162225,-115.621728,1944
34.017902,-118.289695,65
33.628943,-109.769082,2001
37.510134,-121.828423,149
46.510094,-122.929357,153
32.730235,-117.146605,78
36.476485,-121.185117,523
37.435416,-122.345113,402
38.208187,-122.510313,65
38.077406,-122.587681,70
33.123134,-117.318193,18
40.617561,-105.859439,2879
34.030594,-116.349726,1645
35.806162,-118.583038,2292
32.680011,-117.008109,50
34.742882,-119.985638,1220
32.231015,-110.953037,745
34.21838,-118.903672,216
38.529914,-111.939281,2473
37.969914,-122.644587,360
34.11507,-118.414032,273
35.064173,-111.490363,2084
37.935349,-122.737194,133
38.035439,-122.745589,35
32.416864,-110.736783,2492
34.76705,-111.89517,1069
37.843219,-122.284675,10
37.097351,-122.274206,154
37.47253,-122.446188,0
37.958106,-122.12853,202
38.446833,-123.124417,2
33.853627,-118.133956,19
34.139095,-118.543325,335
31.694662,-110.912903,1581
37.674412,-122.404913,223
38.347947,-122.47611,234
40.423467,-106.61706,3037
31.915091,-109.284506,2387
39.697005,-105.167922,2038
32.32277,-106.582847,1822
45.330706,-108.800543,1273
36.076958,-115.002217,487
34.912997,-112.743001,1487
40.1777,-102.227514,1131
34.11015,-118.074333,141
37.554833,-122.508333,103
37.905052,-121.960825,364
37.5173,-121.840997,263
36.254924,-120.996214,326
32.232875,-110.900335,765
37.678475,-122.422594,324
38.039081,-119.147094,2069
38.133029,-122.572322,39
37.313101,-122.188311,681
31.406596,-111.152721,1379
33.159611,-117.276183,91
36.885182,-121.778941,2
33.890937,-109.108486,2995
35.818509,-121.322794,634
48.431745,-120.263755,1040
34.28093,-118.676372,322
39.926294,-121.630341,926
40.08871,-105.214679,1581
32.950676,-116.304224,423
32.841428,-117.079164,193
34.023193,-117.190438,425
37.937783,-122.539047,32
38.63378,-121.229459,77
37.70095,-122.432083,207
34.023686,-118.41745,47
32.938403,-117.135624,74
33.982358,-118.466558,0
38.029435,-119.231352,2379
34.015368,-118.387813,37
37.772238,-122.471517,85
32.764316,-116.841595,252
33.771031,-118.134029,18
38.571798,-122.693504,324
33.746508,-118.406814,113
43.626749,-110.663821,2011
40.091363,-120.365635,1742
33.827027,-118.342375,28
35.129331,-120.632348,15
37.354323,-122.156832,152
35.12542,-106.734674,1648
32.248405,-110.908688,749
39.733384,-104.762979,1661
37.80986,-122.151409,235
37.735202,-122.395373,14
37.397422,-121.797458,309
35.888572,-115.538484,1473
40.439696,-123.671744,733
37.882068,-121.915562,1000
34.303731,-119.2835,48
34.04857,-116.569158,784
38.102953,-122.85844,0
31.351968,-110.284807,1932
37.738902,-122.452953,250
46.614264,-113.627675,1269
38.56759,-122.69439,324
39.944231,-105.277256,1952
37.52428,-122.003914,6
34.251446,-118.623127,308
34.46343,-119.972202,69
34.201419,-118.2112,423
37.901302,-121.949266,360
37.29682,-122.266083,231
33.681744,-117.641874,292
36.11523,-121.441755,631
45.3098,-123.374373,334
38.460405,-123.045322,19
32.682976,-117.243736,36
38.064377,-122.582524,98
40.498369,-122.427135,153
42.269147,-122.625145,1628
38.051973,-122.226984,0
34.198458,-117.132983,1561
33.803358,-118.087855,13
40.856102,-124.097647,0
39.927615,-105.278341,1865
45.3381,-121.731864,1779
37.96675,-119.120027,1992
32.382898,-110.691806,2049
33.337412,-116.919302,1600
37.045128,-119.080253,2251
38.062346,-122.584542,103
38.536466,-121.747968,19
34.223461,-119.182137,29
40.028068,-105.235291,1604
32.836712,-117.066042,157
44.181573,-114.929502,1949
34.021025,-118.309476,47
34.035837,-118.182098,82
34.136003,-118.631291,328
46.936036,-121.487207,1861
37.926395,-122.673517,112
39.432037,-120.240722,1960
33.270255,-116.418468,266
33.707176,-117.477402,1289
37.640842,-122.48037,144
37.677027,-122.413466,209
31.80719,-111.01375,905
39.1664,-122.411095,569
