name,area,average_lat,average_long,max_lat,min_lat,max_long,min_long
Abaeis nicippe,356916.56504526734,33.06034335986159,-110.74966920069204,40.351333,31.349615,-103.237718,-118.728676
Aglais milberti,1527351.7192890644,40.83648282867133,-112.31354829370629,48.951088,32.760645,-104.472516,-124.202591
Agraulis vanillae,54065.54722844064,35.27941479424641,-119.13899346529081,40.656642,31.377451,-104.58371,-123.809352
Amblyscirtes nysa,70883.05246251822,32.9136697,-109.0727163,38.056749,31.390233,-102.610745,-111.188517
Amblyscirtes tolteca,2335.8014960289,31.5577407,-110.5717551,31.869305,31.467498,-109.188197,-111.049712
Anaea aidea,14872.004839837551,31.611525750000002,-110.82009691666667,31.950744,31.399927,-109.164402,-112.893879
Anaea andria,151731.90356636047,37.848268153846156,-103.424244,40.170627,32.385441,-102.103157,-104.987308
Anthocharis cethura,156242.76353099942,34.218431901960784,-115.83854658823529,37.098909,32.316373,-110.710054,-120.835447
Anthocharis julia,1207794.597026348,43.468619358490564,-114.1574431509434,48.477923,38.081131,-105.29345000000001,-122.742504
Anthocharis sara,124416.71949100494,35.15375716475645,-119.12474621346705,48.748017,32.543513,-112.37555,-123.042358
Anthocharis thoosa,440612.30121326447,35.4232855,-109.77455326923076,40.343136,31.763001,-106.334729,-114.139838
Apodemia mormo,142322.11515015364,34.32340853530167,-117.35277083055199,47.514187,31.391267,-104.478453,-121.987919
Apodemia palmerii,89801.42981147766,32.6474256375,-111.5193868625,36.731147,31.342971,-106.734477,-116.475162
Apyrrothrix araxes,5762.078659951687,31.7354007654321,-110.40586661728395,32.428712,31.339433,-109.155866,-111.259545
Asterocampa celtis,226616.06288567185,34.07944014893617,-109.33645140425531,40.210705,31.504703,-103.673953,-112.242717
Asterocampa clyton,428.79565715789795,31.7633985625,-110.8986766875,32.537773,31.569196,-110.71793,-111.049222
Asterocampa leilia,20762.33424884081,32.48325248497854,-111.1830548111588,33.978755,31.342971,-109.069453,-112.849514
Atalopedes campestris,566843.8885506988,38.656789363095236,-117.62749007142857,46.362293,32.270439,-102.276611,-124.209538
Atlides halesus,588242.6599080712,34.93651814851485,-115.47134026732674,42.696667,31.376758,-106.274144,-123.905833
Atrytonopsis edwardsi,20173.91542327404,31.97276368,-110.70430128,33.904616,31.400292,-106.573355,-111.832611
Atrytonopsis lunus,3893.0009857416153,31.6008082,-110.43249113333333,31.883219,31.401445,-109.174898,-111.188517
Atrytonopsis pittacus,23802.114750623703,32.01751955555556,-110.11745322222222,32.425097,31.463677,-106.566458,-111.519827
Autochton cellus,23212.18617206812,32.01021248863636,-109.98650201136364,34.43415,31.390289,-107.82357,-111.619889
Battus philenor,112410.82801130414,36.75233738101035,-118.91599465733414,41.353408,31.341865,-103.313455,-123.813601
Boloria chariclea,504888.301189661,42.72600890909091,-111.54088357142857,48.953285,36.564461,-105.12726,-123.728118
Boloria epithore,288116.77056762576,42.54264795,-121.474175985,48.953239,36.106,-111.370931,-124.047202
Boloria kriemhild,29601.449059963226,43.71778485,-110.5309934,45.348182,40.31147,-109.494428,-112.458569
Brephidium exilis,602438.9054028988,35.3041684359401,-116.74247595590683,46.714571,31.402397,-102.684788,-123.003058
Calephelis arizonensis,5333.745217323303,31.67772696153846,-110.98061796153846,32.475247,31.377098,-110.13776,-111.194934
Calephelis nemesis,87163.65462183952,33.104401174242426,-114.62786116666666,36.018874,31.39888,-104.471368,-120.141227
Calephelis wrighti,20206.739894866943,33.739673555555555,-115.99280651851852,34.050177,33.047238,-111.832611,-117.028165
Callicista columella,168666.6578617096,32.71948281481482,-113.91754118518519,36.134252,31.416775,-110.66258,-118.134029
Callophrys affinis,300464.8606598377,39.37169914583333,-108.22673072916666,43.790428,32.934789,-105.034493,-118.694113
Callophrys dumetorum,85652.89524626732,36.20282236625514,-120.33284095884774,45.989967,32.679356,-116.42557,-123.684966
Callophrys fotis,453668.39047813416,38.15008976923077,-111.95425930769231,40.322492,35.27842,-109.134647,-115.457867
Callophrys mossii,214464.28218746185,38.762631142857146,-120.72671820238095,48.82311,36.009972,-105.266011,-123.935592
Callophrys polios,1113423.9079098701,42.3698648,-113.4971569,46.973962,38.842431,-105.126845,-124.227995
Callophrys sheridanii,1436312.7522192001,40.36963588095238,-113.12793478571429,48.862225,35.883211,-105.104005,-122.891755
Callophrys spinetorum,2043444.6148490906,38.18718223404255,-111.71748961702127,47.747488,31.424415,-104.833072,-122.902852
Carterocephalus palaemon,687600.3767783642,44.85507263157895,-118.67074928947369,48.961296,38.584571,-110.445892,-123.454266
Celastrina ladon,576573.8763599843,37.54526953284672,-118.87725565547446,48.735905,31.35992,-105.289407,-124.526136
Celotes nessus,93346.96715432405,32.425731633333335,-110.53969456666667,34.891472,31.409389,-104.469935,-113.954272
Cercyonis meadi,196215.96171808243,37.959925,-108.21761743478261,47.117576,33.909674,-104.670017,-112.251754
Cercyonis oetus,1330947.7711315155,40.36850501507538,-111.89369426130654,48.801895,32.836796,-104.434368,-122.486785
Cercyonis pegala,1068486.1695629358,40.91342762536023,-117.7506113054755,48.735835,35.063843,-102.201727,-124.399874
