"","reps","median","low","up","prob"
"",2,0.031,-2.44,2.631,0.535
"",2,-0.034,-2.161,2.094,0.539
"",2,-0.04,-2.489,2.483,0.543
"",2,-0.007,-2.448,2.246,0.508
"",2,-0.019,-2.551,2.289,0.521
"",2,0.058,-2.446,2.415,0.563
"",2,-0.021,-2.61,2.504,0.524
"",2,0.011,-2.415,2.288,0.512
"",2,-0.02,-2.305,2.543,0.524
"",2,-0.016,-2.411,2.546,0.52
"",2,-0.021,-2.326,2.455,0.524
"",2,0.01,-2.521,2.469,0.512
"",2,-0.09,-2.518,2.382,0.597
"",2,-0.055,-2.533,2.443,0.56
"",2,0.005,-2.393,2.368,0.505
"",2,-0.008,-2.332,2.425,0.509
"",2,0.013,-2.548,2.711,0.515
"",2,0.016,-2.338,2.559,0.52
"",2,-0.047,-2.53,2.333,0.555
"",2,-0.022,-2.848,2.446,0.527
"",2,-0.144,-2.295,2.358,0.649
"",2,0.003,-2.416,2.373,0.503
"",2,-0.021,-2.8,2.628,0.522
"",2,-0.057,-2.582,2.241,0.566
"",2,0.028,-2.296,2.445,0.532
"",2,-0.004,-2.332,2.333,0.504
"",2,0.036,-2.486,2.546,0.54
"",2,-0.007,-2.352,2.412,0.508
"",2,0.009,-2.454,2.245,0.509
"",2,-0.089,-2.621,2.347,0.595
"",2,-0.091,-2.609,2.434,0.599
"",2,-0.019,-2.363,2.258,0.522
"",2,-0.014,-2.375,2.384,0.517
"",2,-0.04,-2.483,2.473,0.547
"",2,-0.043,-2.739,2.554,0.547
"",2,0.034,-2.527,2.848,0.536
"",2,-0.005,-2.346,2.387,0.506
"",2,0.007,-2.715,2.479,0.508
"",2,0.047,-2.34,2.373,0.553
"",2,0.11,-2.482,2.54,0.621
"",2,-0.105,-2.353,2.479,0.612
"",2,0.009,-2.422,2.425,0.511
"",2,-0.063,-2.587,2.853,0.567
"",2,-0.096,-2.607,2.247,0.602
"",2,0.07,-2.515,2.407,0.578
"",2,0.037,-2.698,2.764,0.542
"",2,-0.005,-2.222,2.531,0.505
"",2,-0.041,-2.313,2.411,0.545
"",2,-0.011,-2.191,2.315,0.513
"",2,0.011,-2.409,2.447,0.514
"",2,0.014,-2.398,2.301,0.514
"",2,-0.038,-2.599,2.817,0.541
"",2,-0.008,-2.451,2.65,0.51
"",2,-0.017,-2.486,2.606,0.518
"",2,0,-2.438,2.385,0.5
"",2,-0.053,-2.581,2.21,0.562
"",2,-0.008,-2.294,2.482,0.51
"",2,-0.088,-2.74,2.505,0.596
"",2,-0.088,-2.632,2.629,0.596
"",2,-0.022,-2.207,2.322,0.524
"",2,-0.084,-2.586,2.416,0.588
"",2,0.022,-2.332,2.383,0.525
"",2,-0.067,-2.66,2.494,0.573
"",2,-0.02,-2.471,2.7,0.522
"",2,-0.196,-2.822,2.654,0.686
"",2,0.042,-2.565,2.63,0.548
"",2,-0.046,-2.442,2.576,0.552
"",2,0.025,-2.59,2.273,0.527
"",2,-0.019,-2.379,2.145,0.522
