"","reps","median","low","up","prob"
"",2,0.001,-2.514,2.426,0.502
"",2,0.015,-2.572,2.569,0.518
"",2,-0.078,-2.449,2.442,0.586
"",2,-0.078,-2.664,2.382,0.585
"",2,-0.051,-2.677,2.788,0.55
"",2,-0.016,-2.32,2.467,0.518
"",2,-0.103,-2.811,2.577,0.609
"",2,-0.105,-2.674,2.431,0.61
"",2,0.07,-2.395,2.622,0.577
"",2,-0.019,-2.344,2.309,0.521
"",2,-0.001,-2.456,2.438,0.502
"",2,0.018,-2.434,2.509,0.518
"",2,0.235,-2.649,3.111,0.696
"",2,0.01,-2.43,2.506,0.511
"",2,0.079,-2.31,2.658,0.585
"",2,-0.011,-2.755,2.611,0.513
"",2,-0.047,-2.498,2.413,0.552
"",2,0.016,-2.568,2.585,0.518
"",2,0.072,-2.518,2.712,0.578
"",2,-0.063,-2.391,2.508,0.57
"",2,-0.033,-2.404,2.555,0.54
"",2,0.003,-2.542,2.538,0.504
"",2,-0.003,-2.266,2.385,0.503
"",2,0.022,-2.311,2.299,0.526
"",2,-0.036,-2.409,2.412,0.54
"",2,-0.051,-2.237,2.367,0.558
"",2,0.031,-2.192,2.536,0.536
"",2,-0.014,-2.403,2.48,0.516
"",2,0.011,-2.407,2.425,0.512
"",2,0.043,-2.474,2.687,0.548
"",2,-0.032,-2.616,2.262,0.538
"",2,-0.118,-2.651,2.458,0.62
"",2,-0.049,-2.258,2.486,0.555
"",2,-0.036,-2.337,2.555,0.54
"",2,0.001,-2.254,2.581,0.501
"",2,-0.012,-2.449,2.576,0.512
"",2,-0.026,-2.543,2.49,0.529
"",2,0.055,-2.259,2.416,0.563
"",2,-0.033,-2.391,2.342,0.538
"",2,-0.028,-2.44,2.492,0.535
"",2,0.001,-2.539,2.592,0.501
"",2,0.036,-2.436,2.828,0.54
"",2,-0.081,-2.853,2.377,0.586
"",2,-0.006,-2.521,2.842,0.507
"",2,0.033,-2.178,2.323,0.537
"",2,-0.006,-2.549,2.393,0.506
"",2,-0.009,-2.512,2.76,0.51
"",2,-0.009,-2.241,2.781,0.51
"",2,-0.018,-2.516,2.688,0.519
"",2,-0.025,-2.584,2.385,0.528
"",2,-0.028,-2.355,2.435,0.531
"",2,0,-2.38,2.325,0.5
"",2,-0.124,-2.855,2.266,0.632
"",2,-0.015,-2.43,2.646,0.515
"",2,-0.067,-2.545,2.642,0.572
"",2,0.068,-2.477,2.436,0.576
"",2,-0.119,-2.683,2.375,0.621
"",2,-0.015,-2.324,2.302,0.517
"",2,-0.003,-2.639,2.499,0.503
"",2,-0.01,-2.547,2.357,0.511
"",2,-0.007,-2.402,2.594,0.508
"",2,-0.04,-2.586,2.381,0.545
"",2,-0.026,-2.846,2.511,0.529
"",2,0.027,-2.501,2.561,0.531
"",2,-0.078,-2.594,2.526,0.584
"",2,-0.035,-2.399,2.812,0.539
"",2,-0.014,-2.629,2.558,0.515
"",2,0.038,-2.335,2.54,0.542
"",2,-0.013,-2.568,2.354,0.514
"",2,0.014,-2.33,2.758,0.515
"",2,0.002,-2.196,2.364,0.502
"",2,-0.048,-2.865,2.586,0.552
"",2,-0.002,-2.321,2.495,0.502
"",2,-0.106,-2.658,2.622,0.61
"",2,-0.01,-2.895,2.612,0.51
"",2,-0.03,-2.498,2.324,0.534
"",2,0.008,-2.417,2.372,0.509
"",2,-0.007,-2.649,2.24,0.509
"",2,0.219,-2.818,3.355,0.682
"",2,0.048,-2.679,2.396,0.552
"",2,0.087,-2.574,2.414,0.594
"",2,-0.001,-2.634,2.506,0.501
"",2,-0.041,-2.612,2.372,0.545
"",2,-0.107,-2.549,2.29,0.613
"",2,-0.011,-2.444,2.379,0.513
"",2,-0.085,-2.556,2.59,0.591
"",2,-0.018,-2.319,2.319,0.52
"",2,-0.047,-2.481,2.517,0.553
"",2,0.023,-2.374,2.581,0.525
"",2,-0.037,-2.279,2.232,0.542
"",2,0.003,-2.543,2.493,0.503
"",2,0.01,-2.43,2.416,0.51
"",2,-0.03,-2.479,2.492,0.534
"",2,-0.119,-2.706,2.428,0.623
"",2,-0.105,-2.837,2.654,0.609
"",2,0.005,-2.38,2.355,0.506
"",2,-0.081,-2.606,2.477,0.581
"",2,-0.019,-2.284,2.291,0.523
"",2,-0.057,-2.534,2.443,0.564
"",2,-0.143,-2.641,2.366,0.65
"",12,-0.026,-0.121,0.067,0.724
"",12,0.034,-0.056,0.126,0.79
"",12,-0.031,-0.126,0.061,0.754
"",12,-0.036,-0.128,0.052,0.802
"",12,-0.025,-0.114,0.068,0.715
"",12,0.01,-0.114,0.127,0.573
"",12,-0.01,-0.104,0.081,0.585
"",12,0.046,-0.074,0.163,0.793
"",12,-0.005,-0.134,0.129,0.527
"",12,-0.039,-0.135,0.054,0.815
"",12,-0.03,-0.128,0.065,0.751
"",12,0.004,-0.091,0.1,0.538
"",12,-0.012,-0.098,0.076,0.61
"",12,-0.045,-0.156,0.068,0.799
"",12,-0.02,-0.117,0.074,0.671
"",12,-0.006,-0.098,0.088,0.557
"",12,-0.014,-0.111,0.08,0.623
"",12,-0.054,-0.152,0.046,0.869
"",12,-0.011,-0.102,0.081,0.606
"",12,0.02,-0.101,0.14,0.639
"",12,-0.024,-0.113,0.069,0.716
"",12,-0.024,-0.117,0.068,0.706
"",12,-0.018,-0.114,0.075,0.657
"",12,-0.004,-0.097,0.092,0.538
"",12,-0.033,-0.128,0.055,0.778
"",12,-0.026,-0.119,0.068,0.721
"",12,-0.03,-0.125,0.06,0.757
"",12,-0.02,-0.106,0.071,0.683
"",12,-0.017,-0.11,0.081,0.653
"",12,-0.049,-0.147,0.047,0.854
"",12,-0.026,-0.122,0.066,0.719
"",12,-0.009,-0.1,0.086,0.583
"",12,-0.05,-0.15,0.059,0.845
"",12,0.008,-0.115,0.132,0.555
"",12,-0.054,-0.152,0.046,0.872
"",12,0.018,-0.079,0.116,0.657
"",12,-0.029,-0.117,0.064,0.746
"",12,-0.012,-0.115,0.085,0.6
"",12,-0.066,-0.164,0.027,0.924
"",12,-0.026,-0.125,0.076,0.703
"",12,-0.026,-0.12,0.064,0.724
"",12,-0.048,-0.143,0.049,0.848
"",12,-0.022,-0.122,0.077,0.685
"",12,-0.017,-0.105,0.075,0.65
"",12,0.014,-0.113,0.142,0.593
"",12,0.001,-0.123,0.125,0.51
"",12,0.014,-0.098,0.129,0.607
"",12,-0.011,-0.096,0.075,0.612
"",12,-0.048,-0.145,0.046,0.852
"",12,0.005,-0.084,0.096,0.548
"",12,0.03,-0.089,0.155,0.702
"",12,-0.013,-0.102,0.073,0.627
"",12,-0.032,-0.132,0.063,0.758
"",12,-0.015,-0.109,0.077,0.632
"",12,-0.002,-0.09,0.086,0.518
"",12,0.011,-0.083,0.103,0.603
"",12,-0.052,-0.15,0.048,0.862
"",12,-0.034,-0.135,0.067,0.765
"",12,-0.025,-0.12,0.071,0.717
"",12,-0.003,-0.131,0.13,0.522
"",12,-0.003,-0.094,0.084,0.526
"",12,-0.024,-0.113,0.062,0.722
"",12,-0.015,-0.102,0.079,0.644
"",12,0.021,-0.079,0.118,0.677
"",12,-0.022,-0.113,0.063,0.7
"",12,0.025,-0.102,0.149,0.662
"",12,-0.059,-0.156,0.041,0.89
"",12,-0.016,-0.106,0.071,0.655
"",12,-0.045,-0.144,0.05,0.837
"",12,-0.06,-0.165,0.035,0.893
"",12,-0.032,-0.126,0.061,0.765
"",12,0.032,-0.085,0.145,0.724
"",12,-0.046,-0.14,0.048,0.847
"",12,-0.021,-0.158,0.116,0.63
"",12,-0.066,-0.164,0.028,0.921
"",12,0.003,-0.1,0.103,0.528
"",12,-0.007,-0.132,0.124,0.548
"",12,-0.013,-0.113,0.084,0.614
"",12,-0.023,-0.149,0.11,0.648
"",12,-0.014,-0.109,0.079,0.624
"",12,-0.026,-0.124,0.068,0.717
"",12,-0.04,-0.145,0.067,0.787
"",12,-0.023,-0.116,0.078,0.693
"",12,-0.049,-0.143,0.043,0.867
"",12,0,-0.092,0.089,0.501
"",12,-0.021,-0.113,0.076,0.682
"",12,-0.005,-0.105,0.102,0.54
"",12,0.008,-0.082,0.098,0.58
"",12,0.024,-0.107,0.15,0.658
"",12,-0.031,-0.178,0.101,0.684
"",12,0.001,-0.094,0.094,0.509
"",12,0.01,-0.112,0.132,0.572
"",12,-0.024,-0.12,0.067,0.706
"",12,-0.03,-0.124,0.061,0.754
"",12,-0.038,-0.133,0.06,0.797
"",12,-0.04,-0.138,0.052,0.808
"",12,-0.021,-0.153,0.108,0.635
"",12,-0.024,-0.115,0.067,0.715
"",12,-0.01,-0.107,0.091,0.586
"",12,0.046,-0.072,0.166,0.801
"",22,-0.018,-0.074,0.037,0.748
"",22,-0.024,-0.084,0.033,0.8
"",22,-0.038,-0.091,0.016,0.924
"",22,-0.027,-0.08,0.029,0.846
"",22,-0.017,-0.068,0.032,0.754
