species,site,median,up,low,probPos,probNeg
Achalarus casica,AtascosaHighlandsAZ,0.074,0.177,-0.015,0.952,0.048
Achalarus casica,PatagoniaAZ,-0.028,0.003,-0.059,0.036,0.964
Achalarus casica,RamseyCanyonAZ,-0.002,0.02,-0.024,0.439,0.561
Adelpha bredowii,AtascosaHighlandsAZ,0.001,0.045,-0.043,0.52,0.48
Adelpha bredowii,BeniciaCA,-0.004,0.049,-0.057,0.444,0.556
Adelpha bredowii,BerkeleyCA,0.001,0.03,-0.029,0.528,0.472
Adelpha bredowii,BigBearCA,-0.036,0.026,-0.096,0.122,0.878
Adelpha bredowii,BigChicoCreekEcologicalReserve,0.013,0.066,-0.042,0.679,0.321
Adelpha bredowii,BigCreek,-0.016,0.026,-0.06,0.231,0.769
Adelpha bredowii,BrowderRidgeOR,0.014,0.068,-0.038,0.701,0.299
Adelpha bredowii,DardenellesCA,0.016,0.062,-0.033,0.742,0.258
Adelpha bredowii,EugeneOR,0.006,0.052,-0.043,0.596,0.404
Adelpha bredowii,GiantSequoiaNationalMonumentSouth,-0.018,0.046,-0.082,0.295,0.705
Adelpha bredowii,HastingsReservationCA,0.01,0.069,-0.048,0.628,0.372
Adelpha bredowii,MarinCo,0.009,0.062,-0.045,0.628,0.372
Adelpha bredowii,MarysPeakOR,-0.015,0.082,-0.114,0.378,0.622
Adelpha bredowii,Monterey,-0.026,0.027,-0.08,0.175,0.825
Adelpha bredowii,MountBadenPowellCA,-0.079,0.036,-0.189,0.08,0.92
Adelpha bredowii,MountDiabloCA,-0.013,0.019,-0.047,0.221,0.779
Adelpha bredowii,NorthForkKernRiverValleyCA,0.007,0.072,-0.06,0.58,0.42
Adelpha bredowii,OrganMountainsNM,0.028,0.112,-0.06,0.732,0.268
Adelpha bredowii,PasadenaCA,-0.046,0.012,-0.105,0.061,0.939
Adelpha bredowii,PatagoniaAZ,-0.048,-0.011,-0.084,0.006,0.994
Adelpha bredowii,PinnaclesNationalPark,-0.022,0.031,-0.075,0.207,0.793
Adelpha bredowii,PointReyesCA,-0.046,0.011,-0.104,0.055,0.945
Adelpha bredowii,PomonaCA,-0.052,0.05,-0.152,0.158,0.842
Adelpha bredowii,PortalAZ,-0.044,0.011,-0.102,0.064,0.936
Adelpha bredowii,RamseyCanyonAZ,-0.036,-0.009,-0.062,0.004,0.996
Adelpha bredowii,SabinoCanyonAZ,-0.041,0.012,-0.093,0.065,0.935
Adelpha bredowii,SanJoaquinCo,-0.016,0.02,-0.05,0.192,0.808
Adelpha bredowii,SanJuanCapistranoCA,-0.018,0.077,-0.112,0.354,0.646
Adelpha bredowii,SantaYnezCanyon,-0.047,-0.002,-0.093,0.021,0.979
Adelpha bredowii,SonomaCo,0.012,0.077,-0.058,0.64,0.36
Adelpha bredowii,YubaPassCA,-0.018,0.035,-0.068,0.257,0.743
Agraulis vanillae,AtascosaHighlandsAZ,0.002,0.061,-0.056,0.534,0.466
Agraulis vanillae,BerkeleyCA,0.003,0.031,-0.027,0.572,0.428
Agraulis vanillae,ElDoradoNatureCenterCA,-0.021,0.051,-0.104,0.282,0.718
Agraulis vanillae,PalosVerdesCA,0.002,0.031,-0.027,0.563,0.437
Agraulis vanillae,PatagoniaAZ,0.064,0.102,0.028,0.999,0.001
Agraulis vanillae,RamseyCanyonAZ,0.034,0.062,0.006,0.991,0.009
Agraulis vanillae,SanFranciscoCA,0.04,0.116,-0.029,0.876,0.124
Agriades glandon,BeartoothButteWY,-0.067,0.01,-0.148,0.042,0.958
Agriades glandon,CalWoodOutdoorLearningCenterCO,0.028,0.088,-0.034,0.819,0.181
Agriades glandon,DardenellesCA,0.018,0.086,-0.054,0.697,0.303
Agriades glandon,GiantSequoiaNationalMonumentSouth,0.033,0.151,-0.077,0.727,0.273
Agriades glandon,GilpinCo,-0.006,0.03,-0.039,0.373,0.627
Agriades glandon,LosAlamosNM,-0.03,0.089,-0.145,0.306,0.694
Agriades glandon,MountLassen,0.037,0.135,-0.056,0.792,0.208
Agriades glandon,RockyMountainNationalParkCO,0.02,0.095,-0.043,0.731,0.269
Agriades glandon,YubaPassCA,-0.02,0.064,-0.113,0.331,0.669
Amblyscirtes aenus,AtascosaHighlandsAZ,-0.005,0.061,-0.078,0.434,0.566
Amblyscirtes aenus,GilpinCo,-0.03,-0.001,-0.062,0.026,0.974
Amblyscirtes aenus,PatagoniaAZ,-0.029,0.011,-0.067,0.072,0.928
Amblyscirtes aenus,PortalAZ,0.02,0.097,-0.059,0.701,0.299
Amblyscirtes aenus,RamseyCanyonAZ,0.018,0.048,-0.011,0.881,0.119
Amblyscirtes cassus,PatagoniaAZ,-0.034,0.003,-0.073,0.042,0.958
Amblyscirtes cassus,PortalAZ,-0.032,0.045,-0.117,0.209,0.791
Amblyscirtes cassus,RamseyCanyonAZ,-0.004,0.023,-0.034,0.395,0.605
Amblyscirtes cassus,SabinoCanyonAZ,-0.021,0.05,-0.093,0.278,0.722
Amblyscirtes elissa,PatagoniaAZ,0.077,0.121,0.035,1,0
Amblyscirtes elissa,RamseyCanyonAZ,0.021,0.05,-0.005,0.938,0.062
Amblyscirtes eos,AtascosaHighlandsAZ,0.037,0.113,-0.03,0.857,0.143
Amblyscirtes eos,PatagoniaAZ,-0.001,0.029,-0.03,0.473,0.527
Amblyscirtes eos,PortalAZ,0.069,0.138,0.001,0.979,0.021
Amblyscirtes eos,RamseyCanyonAZ,0.005,0.026,-0.017,0.667,0.333
Amblyscirtes exoteria,AtascosaHighlandsAZ,0.016,0.1,-0.069,0.645,0.355
Amblyscirtes exoteria,PatagoniaAZ,-0.009,0.035,-0.053,0.332,0.668
Amblyscirtes exoteria,PortalAZ,-0.019,0.075,-0.112,0.336,0.664
Amblyscirtes exoteria,RamseyCanyonAZ,0.014,0.047,-0.017,0.811,0.189
