site,median,up,low,probPos,probNeg
AtascosaHighlandsAZ,0.031,0.035,0.027,1,0
BeniciaCA,-0.034,-0.027,-0.041,0,1
BerkeleyCA,-0.006,-0.005,-0.007,0,1
BigBearCA,0.043,0.046,0.041,1,0
BigChicoCreekEcologicalReserve,0.045,0.062,0.025,1,0
BigCreek,-0.005,-0.003,-0.007,0,1
BrowderRidgeOR,-0.009,-0.004,-0.013,0,1
DardenellesCA,0.01,0.012,0.008,1,0
EugeneOR,-0.005,-0.002,-0.009,0.003,0.997
GiantSequoiaNationalMonumentSouth,0.041,0.048,0.034,1,0
HastingsReservationCA,0.001,0.005,-0.003,0.676,0.324
MarinCo,-0.075,-0.072,-0.078,0,1
MarysPeakOR,0.133,0.146,0.122,1,0
Monterey,-0.078,-0.065,-0.087,0,1
MountBadenPowellCA,-0.034,-0.025,-0.044,0,1
MountDiabloCA,-0.015,-0.014,-0.016,0,1
NorthForkKernRiverValleyCA,-0.041,-0.035,-0.047,0,1
OrganMountainsNM,0.033,0.038,0.028,1,0
PasadenaCA,-0.032,-0.028,-0.036,0,1
PatagoniaAZ,-0.014,-0.012,-0.015,0,1
PinnaclesNationalPark,-0.027,-0.025,-0.029,0,1
PointReyesCA,0.003,0.01,-0.003,0.863,0.137
PomonaCA,-0.006,0.001,-0.014,0.047,0.953
PortalAZ,-0.002,0.002,-0.007,0.169,0.831
RamseyCanyonAZ,-0.027,-0.027,-0.028,0,1
SabinoCanyonAZ,-0.035,-0.03,-0.04,0,1
SanJoaquinCo,-0.01,-0.007,-0.013,0,1
SanJuanCapistranoCA,0.001,0.008,-0.005,0.642,0.358
SantaYnezCanyon,-0.013,-0.01,-0.017,0,1
SonomaCo,-0.009,-0.006,-0.013,0,1
YubaPassCA,-0.017,-0.014,-0.02,0,1
BoyceThompsonArboretum,0.089,0.103,0.075,1,0
SanFranciscoCA,0.08,0.086,0.074,1,0
MetoliusOR,0.027,0.03,0.025,1,0
MountLassen,-0.037,-0.031,-0.043,0,1
WesternWahkiakumCo,0.013,0.019,0.007,1,0
YellowPineID,0.103,0.109,0.098,1,0
CalWoodOutdoorLearningCenterCO,0.041,0.043,0.038,1,0
FortCollinsCO,-0.006,-0.002,-0.011,0.003,0.997
GilpinCo,-0.008,-0.007,-0.009,0,1
JoshuaTreeCA,-0.201,-0.195,-0.208,0,1
LavaBedsNationalMonument,0.098,0.105,0.091,1,0
OchocoOR,-0.008,-0.005,-0.012,0,1
RooseveltNationalForestCO,-0.024,-0.014,-0.035,0,1
BoiseFrontID,0.05,0.053,0.047,1,0
ChumstickMtn,-0.026,-0.024,-0.028,0,1
SanBrunoMountainCA,-0.025,-0.017,-0.032,0,1
VashonIslandWA,0.012,0.023,0.001,0.978,0.022
BeartoothButteWY,0.002,0.008,-0.004,0.722,0.278
BryceCanyonUT,-0.011,0.001,-0.022,0.037,0.963
FiveValleysMT,-0.073,-0.068,-0.077,0,1
MortonElrodMemorialMT,-0.01,-0.004,-0.017,0.001,0.999
SantaFeNM,-0.065,-0.057,-0.072,0,1
YellowstoneNationalPark,-0.002,0.008,-0.011,0.37,0.63
ChatfieldNaturePreserveCO,-0.132,-0.084,-0.182,0,1
HighLineCanalCO,-0.021,-0.02,-0.023,0,1
MinidokaNationalWildlifeRefugeID,-0.074,-0.058,-0.091,0,1
SevenDevilsID,-0.081,-0.069,-0.094,0,1
CamasNationalWildlifeRefugeID,-0.063,-0.05,-0.075,0,1
MagicMountainID,0.054,0.074,0.034,1,0
RockyMountainNationalParkCO,-0.066,-0.059,-0.075,0,1
SouthSanFranciscoBayCA,-0.013,-0.006,-0.019,0,1
CosumnesRiverCA,0.039,0.042,0.036,1,0
LosAlamosNM,-0.063,-0.055,-0.071,0,1
PalosVerdesCA,-0.019,-0.018,-0.02,0,1
WillowSlough,-0.019,-0.018,-0.02,0,1
CottonwoodSpringCA,-0.346,-0.325,-0.372,0,1
ElDoradoNatureCenterCA,-0.063,-0.036,-0.096,0,1
ONeillRegionalParkCA,-0.131,-0.077,-0.185,0,1
TrapperCreekID,-0.129,-0.078,-0.181,0,1
WhiteMountains,0.123,0.135,0.11,1,0
