species,site,median,up,low,probPos,probNeg
Achalarus casica,AtascosaHighlandsAZ,0.099,0.147,0.047,1,0
Achalarus casica,PatagoniaAZ,-0.041,-0.018,-0.063,0,1
Achalarus casica,RamseyCanyonAZ,0,0.024,-0.025,0.492,0.508
Adelpha bredowii,AtascosaHighlandsAZ,0.077,0.12,0.035,1,0
Adelpha bredowii,BeniciaCA,-0.015,0.032,-0.061,0.275,0.725
Adelpha bredowii,BerkeleyCA,0.006,0.016,-0.003,0.892,0.108
Adelpha bredowii,BigBearCA,-0.022,-0.005,-0.038,0.003,0.997
Adelpha bredowii,BigChicoCreekEcologicalReserve,0.001,0.082,-0.072,0.516,0.484
Adelpha bredowii,BigCreek,-0.02,-0.01,-0.03,0,1
Adelpha bredowii,BrowderRidgeOR,0.012,0.056,-0.029,0.715,0.285
Adelpha bredowii,DardenellesCA,0.017,0.036,-0.003,0.956,0.044
Adelpha bredowii,EugeneOR,0.014,0.04,-0.013,0.841,0.159
Adelpha bredowii,GiantSequoiaNationalMonumentSouth,0.022,0.058,-0.016,0.879,0.121
Adelpha bredowii,HastingsReservationCA,0.034,0.047,0.022,1,0
Adelpha bredowii,MarinCo,0.02,0.046,-0.006,0.939,0.061
Adelpha bredowii,MarysPeakOR,0.034,0.121,-0.056,0.779,0.221
Adelpha bredowii,Monterey,-0.132,-0.069,-0.206,0,1
Adelpha bredowii,MountBadenPowellCA,-0.159,-0.135,-0.182,0,1
Adelpha bredowii,MountDiabloCA,-0.004,0.002,-0.011,0.094,0.906
Adelpha bredowii,NorthForkKernRiverValleyCA,0.066,0.096,0.034,1,0
Adelpha bredowii,OrganMountainsNM,0.069,0.093,0.046,1,0
Adelpha bredowii,PasadenaCA,-0.063,-0.046,-0.079,0,1
Adelpha bredowii,PatagoniaAZ,-0.036,-0.026,-0.046,0,1
Adelpha bredowii,PinnaclesNationalPark,-0.033,-0.013,-0.054,0.001,0.999
Adelpha bredowii,PointReyesCA,-0.134,-0.085,-0.185,0,1
Adelpha bredowii,PomonaCA,-0.079,-0.052,-0.106,0,1
Adelpha bredowii,PortalAZ,-0.063,-0.032,-0.092,0,1
Adelpha bredowii,RamseyCanyonAZ,-0.013,-0.008,-0.017,0,1
Adelpha bredowii,SabinoCanyonAZ,-0.143,-0.097,-0.187,0,1
Adelpha bredowii,SanJoaquinCo,-0.027,0.009,-0.063,0.068,0.932
Adelpha bredowii,SanJuanCapistranoCA,0.009,0.08,-0.067,0.594,0.406
Adelpha bredowii,SantaYnezCanyon,-0.03,-0.01,-0.051,0.002,0.998
Adelpha bredowii,SonomaCo,0.046,0.065,0.025,1,0
Adelpha bredowii,YubaPassCA,-0.024,0.001,-0.05,0.034,0.966
Agraulis vanillae,AtascosaHighlandsAZ,-0.046,-0.027,-0.067,0,1
Agraulis vanillae,BerkeleyCA,-0.017,0.001,-0.033,0.028,0.972
Agraulis vanillae,ElDoradoNatureCenterCA,-0.056,0.008,-0.125,0.045,0.955
Agraulis vanillae,PalosVerdesCA,-0.001,0.002,-0.005,0.222,0.778
Agraulis vanillae,PatagoniaAZ,0.049,0.062,0.036,1,0
Agraulis vanillae,RamseyCanyonAZ,0.074,0.096,0.053,1,0
Agraulis vanillae,SanFranciscoCA,0.118,0.177,0.064,1,0
Agriades glandon,BeartoothButteWY,-0.077,-0.057,-0.096,0,1
Agriades glandon,CalWoodOutdoorLearningCenterCO,0.033,0.06,0.005,0.991,0.009
Agriades glandon,DardenellesCA,0.03,0.047,0.014,1,0
Agriades glandon,GiantSequoiaNationalMonumentSouth,0.064,0.09,0.035,1,0
Agriades glandon,GilpinCo,-0.009,-0.003,-0.015,0.001,0.999
Agriades glandon,LosAlamosNM,-0.067,-0.044,-0.09,0,1
Agriades glandon,MountLassen,0.212,0.243,0.182,1,0
Agriades glandon,RockyMountainNationalParkCO,0.134,0.16,0.107,1,0
Agriades glandon,YubaPassCA,-0.034,-0.013,-0.055,0.001,0.999
Amblyscirtes aenus,AtascosaHighlandsAZ,0.014,0.039,-0.013,0.857,0.143
Amblyscirtes aenus,GilpinCo,-0.095,-0.051,-0.14,0,1
Amblyscirtes aenus,PatagoniaAZ,-0.027,-0.019,-0.036,0,1
Amblyscirtes aenus,PortalAZ,0.01,0.037,-0.016,0.786,0.214
Amblyscirtes aenus,RamseyCanyonAZ,0.005,0.013,-0.002,0.922,0.078
Amblyscirtes cassus,PatagoniaAZ,-0.077,-0.05,-0.103,0,1
Amblyscirtes cassus,PortalAZ,-0.066,-0.009,-0.13,0.015,0.985
Amblyscirtes cassus,RamseyCanyonAZ,-0.034,-0.026,-0.042,0,1
Amblyscirtes cassus,SabinoCanyonAZ,-0.033,0.037,-0.1,0.181,0.819
Amblyscirtes elissa,PatagoniaAZ,0.092,0.105,0.08,1,0
Amblyscirtes elissa,RamseyCanyonAZ,0.213,0.268,0.161,1,0
Amblyscirtes eos,AtascosaHighlandsAZ,0.137,0.233,0.043,0.998,0.002
Amblyscirtes eos,PatagoniaAZ,0.003,0.017,-0.009,0.69,0.31
Amblyscirtes eos,PortalAZ,0.169,0.232,0.11,1,0
Amblyscirtes eos,RamseyCanyonAZ,0.011,0.035,-0.012,0.818,0.182
Amblyscirtes exoteria,AtascosaHighlandsAZ,0.103,0.147,0.06,1,0
Amblyscirtes exoteria,PatagoniaAZ,-0.03,-0.016,-0.044,0,1
Amblyscirtes exoteria,PortalAZ,-0.035,0.009,-0.08,0.058,0.942
Amblyscirtes exoteria,RamseyCanyonAZ,-0.01,0,-0.02,0.026,0.974
Amblyscirtes fimbriata,PortalAZ,0.05,0.086,0.013,0.996,0.004
Amblyscirtes fimbriata,RamseyCanyonAZ,-0.002,0.005,-0.01,0.266,0.734
Amblyscirtes nereus,PatagoniaAZ,-0.016,0.007,-0.041,0.1,0.9
Amblyscirtes nereus,RamseyCanyonAZ,-0.012,0.005,-0.028,0.08,0.92
Amblyscirtes nysa,AtascosaHighlandsAZ,0.02,0.055,-0.017,0.858,0.142
Amblyscirtes nysa,PatagoniaAZ,-0.023,-0.012,-0.034,0,1
Amblyscirtes nysa,RamseyCanyonAZ,0.019,0.029,0.01,1,0
Amblyscirtes oslari,RamseyCanyonAZ,-0.003,0.018,-0.025,0.395,0.605
Amblyscirtes texanae,PatagoniaAZ,0.155,0.193,0.119,1,0
Amblyscirtes texanae,RamseyCanyonAZ,0.081,0.115,0.051,1,0
Amblyscirtes tolteca,PatagoniaAZ,0.175,0.214,0.14,1,0
Amblyscirtes vialis,ChumstickMtn,0.019,0.065,-0.026,0.802,0.198
Amblyscirtes vialis,FiveValleysMT,-0.151,-0.106,-0.196,0,1
Amblyscirtes vialis,YellowPineID,-0.098,-0.047,-0.15,0,1
Anatrytone logan,GilpinCo,0.004,0.025,-0.017,0.625,0.375
Anatrytone logan,HighLineCanalCO,-0.076,-0.024,-0.136,0.001,0.999
Ancyloxypha arene,PatagoniaAZ,-0.095,-0.072,-0.118,0,1
Anteos clorinde,PatagoniaAZ,-0.015,0.031,-0.063,0.262,0.738
Anthocharis lanceolata,YubaPassCA,-0.035,0.013,-0.083,0.076,0.924
Anthocharis sara,BerkeleyCA,0.009,0.028,-0.011,0.807,0.193
Anthocharis sara,BigCreek,0.004,0.031,-0.023,0.612,0.388
Anthocharis sara,BoiseFrontID,-0.026,0.019,-0.073,0.132,0.868
Anthocharis sara,BorregoSpringsCA,-0.003,0.029,-0.038,0.421,0.579
Anthocharis sara,ChumstickMtn,-0.052,-0.02,-0.085,0.001,0.999
Anthocharis sara,DardenellesCA,0.013,0.035,-0.007,0.898,0.102
Anthocharis sara,JoshuaTreeCA,-0.106,-0.092,-0.121,0,1
Anthocharis sara,MountDiabloCA,-0.027,-0.005,-0.048,0.009,0.991
Anthocharis sara,OchocoOR,-0.026,0.001,-0.053,0.03,0.97
Anthocharis sara,PinnaclesNationalPark,0.016,0.051,-0.017,0.82,0.18
Anthocharis sara,YellowstoneNationalPark,-0.121,-0.02,-0.221,0.01,0.99
Anthocharis sara,YubaPassCA,-0.036,-0.02,-0.054,0,1
Apodemia mormo,AtascosaHighlandsAZ,0.019,0.077,-0.033,0.748,0.252
Apodemia mormo,CottonwoodSpringCA,-0.236,-0.148,-0.315,0,1
Apodemia mormo,JoshuaTreeCA,-0.073,-0.029,-0.123,0.001,0.999
Apodemia mormo,OrganMountainsNM,-0.092,-0.014,-0.169,0.007,0.993
Apodemia mormo,PatagoniaAZ,-0.038,-0.008,-0.068,0.007,0.993
Apodemia mormo,SanJuanCapistranoCA,0.172,0.192,0.153,1,0
Apodemia nais,GilpinCo,-0.031,-0.022,-0.039,0,1
Apodemia nais,RamseyCanyonAZ,-0.031,-0.014,-0.048,0,1
Apodemia nais,SabinoCanyonAZ,0.047,0.08,0.015,0.998,0.002
Apodemia palmeri,AtascosaHighlandsAZ,-0.001,0.014,-0.016,0.439,0.561
Apodemia palmeri,PatagoniaAZ,0.027,0.034,0.02,1,0
Apodemia palmeri,RamseyCanyonAZ,0.068,0.091,0.045,1,0
Asterocampa celtis,AtascosaHighlandsAZ,0.016,0.059,-0.031,0.755,0.245
Asterocampa celtis,GilpinCo,-0.031,-0.021,-0.041,0,1
Asterocampa celtis,HighLineCanalCO,-0.083,-0.065,-0.103,0,1
Asterocampa celtis,OrganMountainsNM,0.066,0.094,0.038,1,0
Asterocampa celtis,PatagoniaAZ,-0.013,0.005,-0.03,0.077,0.923
Asterocampa celtis,RamseyCanyonAZ,-0.001,0.023,-0.024,0.465,0.535
Asterocampa clyton,AtascosaHighlandsAZ,0.007,0.081,-0.067,0.58,0.42
Asterocampa clyton,PatagoniaAZ,-0.01,0.007,-0.027,0.124,0.876
Asterocampa clyton,RamseyCanyonAZ,0.009,0.031,-0.012,0.797,0.203
Asterocampa leilia,AtascosaHighlandsAZ,-0.043,-0.029,-0.059,0,1
Asterocampa leilia,BoyceThompsonArboretum,0.032,0.059,0.005,0.992,0.008
Asterocampa leilia,PatagoniaAZ,-0.018,-0.008,-0.028,0,1
Asterocampa leilia,SabinoCanyonAZ,0.017,0.035,0,0.975,0.025
Atalopedes campestris,BerkeleyCA,-0.002,0.053,-0.058,0.465,0.535
Atalopedes campestris,MarinCo,-0.116,-0.049,-0.191,0,1
Atalopedes campestris,MountDiabloCA,-0.106,-0.041,-0.171,0,1
Atalopedes campestris,PalosVerdesCA,-0.092,-0.08,-0.107,0,1
Atalopedes campestris,RamseyCanyonAZ,-0.029,0.007,-0.066,0.057,0.943
Atalopedes campestris,WillowSlough,-0.053,-0.04,-0.065,0,1
Atlides halesus,BorregoSpringsCA,-0.102,0.037,-0.234,0.064,0.936
Atlides halesus,MountDiabloCA,-0.002,0.046,-0.051,0.468,0.532
Atlides halesus,PatagoniaAZ,0.022,0.049,-0.005,0.944,0.056
Atlides halesus,RamseyCanyonAZ,-0.002,0.029,-0.031,0.459,0.541
Atrytone arogos,FortCollinsCO,-0.143,-0.113,-0.174,0,1
Atrytone arogos,GilpinCo,-0.156,-0.14,-0.171,0,1
Atrytonopsis edwardsii,AtascosaHighlandsAZ,-0.003,0.025,-0.03,0.421,0.579
Atrytonopsis edwardsii,PatagoniaAZ,0.028,0.047,0.011,0.999,0.001
Atrytonopsis lunus,AtascosaHighlandsAZ,-0.007,0.037,-0.053,0.368,0.632
Atrytonopsis lunus,PatagoniaAZ,-0.053,-0.035,-0.071,0,1
Atrytonopsis lunus,RamseyCanyonAZ,-0.037,-0.021,-0.052,0,1
Autochton cellus,AtascosaHighlandsAZ,0.091,0.134,0.049,1,0
Autochton cellus,PatagoniaAZ,0.08,0.089,0.07,1,0
Autochton cellus,PortalAZ,0.035,0.056,0.015,1,0
Autochton cellus,RamseyCanyonAZ,0.034,0.04,0.028,1,0
Autochton cellus,SabinoCanyonAZ,0.185,0.252,0.118,1,0
Battus philenor,AtascosaHighlandsAZ,0.031,0.04,0.021,1,0
Battus philenor,BeniciaCA,0.036,0.065,0.006,0.993,0.007
Battus philenor,BerkeleyCA,-0.012,-0.005,-0.02,0.002,0.998
Battus philenor,BigChicoCreekEcologicalReserve,0.121,0.161,0.08,1,0
Battus philenor,BoyceThompsonArboretum,0.132,0.161,0.109,1,0
Battus philenor,MarinCo,0.048,0.081,0.016,0.998,0.002
Battus philenor,MountDiabloCA,0.081,0.143,0.023,0.997,0.003
Battus philenor,PatagoniaAZ,-0.017,-0.015,-0.02,0,1
Battus philenor,PointReyesCA,0.043,0.094,-0.006,0.956,0.044
Battus philenor,PortalAZ,-0.091,-0.068,-0.114,0,1
Battus philenor,RamseyCanyonAZ,-0.027,-0.025,-0.03,0,1
Battus philenor,SabinoCanyonAZ,-0.013,0.001,-0.027,0.034,0.966
Battus philenor,SanFranciscoCA,0.131,0.161,0.103,1,0
Battus philenor,SanJoaquinCo,-0.028,-0.018,-0.039,0,1
Battus philenor,SonomaCo,0.118,0.173,0.066,1,0
Boloria epithore,BrowderRidgeOR,0,0.019,-0.017,0.512,0.488
Boloria epithore,DardenellesCA,0.004,0.018,-0.011,0.705,0.295
Boloria epithore,GiantSequoiaNationalMonumentSouth,0.038,0.068,0.005,0.989,0.011
Boloria epithore,MarysPeakOR,0.055,0.075,0.034,1,0
Boloria epithore,MetoliusOR,0.003,0.02,-0.014,0.627,0.373
Boloria epithore,MountLassen,-0.079,-0.057,-0.1,0,1
Boloria epithore,NorthForkKernRiverValleyCA,-0.067,-0.035,-0.099,0,1
Boloria epithore,WesternWahkiakumCo,0.08,0.125,0.033,1,0
Boloria epithore,YellowPineID,0.036,0.063,0.009,0.997,0.003
Boloria epithore,YubaPassCA,-0.007,0.007,-0.024,0.177,0.823
Boloria kriemhild,BeartoothButteWY,-0.016,0.019,-0.052,0.177,0.823
Boloria montinus,BeartoothButteWY,0,0.027,-0.026,0.493,0.507
Boloria selene,GilpinCo,0.084,0.105,0.065,1,0
Boloria selene,MortonElrodMemorialMT,-0.035,0.012,-0.081,0.07,0.93
Boloria selene,OchocoOR,0.093,0.11,0.077,1,0
Brephidium exile,AtascosaHighlandsAZ,0.043,0.095,-0.009,0.946,0.054
Brephidium exile,BigBearCA,-0.022,0.022,-0.073,0.175,0.825
Brephidium exile,BoyceThompsonArboretum,-0.138,-0.042,-0.23,0.001,0.999
Brephidium exile,JoshuaTreeCA,-0.014,0.013,-0.042,0.155,0.845
Brephidium exile,MountBadenPowellCA,0.082,0.149,0.019,0.995,0.005
Brephidium exile,MountDiabloCA,-0.784,-0.674,-0.902,0,1
Brephidium exile,NorthForkKernRiverValleyCA,0.097,0.178,0.018,0.99,0.01
Brephidium exile,OrganMountainsNM,0.975,1.002,0.949,1,0
Brephidium exile,PalosVerdesCA,-0.043,-0.039,-0.046,0,1
Brephidium exile,PatagoniaAZ,0,0.014,-0.013,0.512,0.488
Brephidium exile,PortalAZ,-0.075,-0.004,-0.145,0.014,0.986
Brephidium exile,RamseyCanyonAZ,0.03,0.034,0.026,1,0
Brephidium exile,SabinoCanyonAZ,0.067,0.124,0.013,0.993,0.007
Brephidium exile,SouthSanFranciscoBayCA,-0.001,0.021,-0.025,0.454,0.546
Brephidium exile,WillowSlough,-0.042,-0.039,-0.045,0,1
Calephelis arizonensis,AtascosaHighlandsAZ,-0.041,-0.017,-0.066,0,1
Calephelis arizonensis,PatagoniaAZ,-0.105,-0.089,-0.122,0,1
Calephelis arizonensis,RamseyCanyonAZ,-0.053,-0.021,-0.085,0,1
Calephelis nemesis,AtascosaHighlandsAZ,0.078,0.137,0.015,0.996,0.004
Calephelis nemesis,PalosVerdesCA,0.083,0.1,0.067,1,0
Calephelis nemesis,PatagoniaAZ,0.004,0.013,-0.004,0.847,0.153
Calephelis nemesis,RamseyCanyonAZ,0.046,0.063,0.03,1,0
Calephelis nemesis,SantaYnezCanyon,0.043,0.097,-0.005,0.963,0.037
Calephelis wrighti,CottonwoodSpringCA,0.026,0.122,-0.093,0.677,0.323
Callophrys augustinus,BerkeleyCA,-0.017,0.03,-0.067,0.248,0.752
Callophrys augustinus,BigCreek,0.006,0.026,-0.012,0.742,0.258
Callophrys augustinus,DardenellesCA,-0.022,0.029,-0.068,0.186,0.814
Callophrys augustinus,GiantSequoiaNationalMonumentSouth,-0.098,0.011,-0.206,0.04,0.96
Callophrys augustinus,HastingsReservationCA,-0.061,-0.025,-0.095,0,1
Callophrys augustinus,MountBadenPowellCA,-0.282,-0.171,-0.39,0,1
Callophrys augustinus,MountDiabloCA,0.037,0.063,0.012,0.998,0.002
Callophrys augustinus,PinnaclesNationalPark,-0.081,-0.048,-0.112,0,1
Callophrys augustinus,SantaYnezCanyon,0.009,0.05,-0.031,0.671,0.329
Callophrys augustinus,YubaPassCA,-0.024,0.02,-0.072,0.151,0.849
Callophrys dumetorum,CalWoodOutdoorLearningCenterCO,0.076,0.101,0.052,1,0
Callophrys dumetorum,FortCollinsCO,0.142,0.232,0.055,1,0
Callophrys dumetorum,GilpinCo,-0.014,-0.003,-0.025,0.005,0.995
Callophrys dumetorum,LosAlamosNM,0.013,0.062,-0.034,0.703,0.297
Callophrys eryphon,BigBearCA,-0.009,0.031,-0.047,0.331,0.669
Callophrys eryphon,ChumstickMtn,-0.024,0.012,-0.063,0.099,0.901
Callophrys eryphon,DardenellesCA,-0.066,-0.029,-0.103,0,1
Callophrys eryphon,GiantSequoiaNationalMonumentSouth,-0.064,0.034,-0.159,0.095,0.905
Callophrys eryphon,GilpinCo,0.006,0.018,-0.005,0.862,0.138
Callophrys eryphon,OchocoOR,-0.13,-0.09,-0.171,0,1
Callophrys eryphon,YellowPineID,-0.016,0.062,-0.101,0.343,0.657
Callophrys eryphon,YubaPassCA,-0.041,-0.005,-0.077,0.012,0.988
Callophrys gryneus,AtascosaHighlandsAZ,0.095,0.176,0.01,0.991,0.009
Callophrys gryneus,BigBearCA,0.217,0.225,0.208,1,0
Callophrys gryneus,CalWoodOutdoorLearningCenterCO,0.14,0.172,0.108,1,0
Callophrys gryneus,DardenellesCA,0.008,0.017,0,0.976,0.024
Callophrys gryneus,FortCollinsCO,-0.044,0.021,-0.115,0.101,0.899
Callophrys gryneus,GiantSequoiaNationalMonumentSouth,-0.029,0.036,-0.093,0.189,0.811
Callophrys gryneus,GilpinCo,0.075,0.084,0.065,1,0
Callophrys gryneus,JoshuaTreeCA,-0.039,0.009,-0.089,0.062,0.938
Callophrys gryneus,LavaBedsNationalMonument,0.401,0.431,0.369,1,0
Callophrys gryneus,MetoliusOR,-0.05,-0.041,-0.059,0,1
Callophrys gryneus,MountBadenPowellCA,-0.036,0.01,-0.079,0.055,0.945
Callophrys gryneus,NorthForkKernRiverValleyCA,0.332,0.359,0.309,1,0
Callophrys gryneus,OchocoOR,-0.038,-0.009,-0.069,0.005,0.995
Callophrys gryneus,PatagoniaAZ,0.06,0.078,0.042,1,0
Callophrys gryneus,RamseyCanyonAZ,0.021,0.041,0.001,0.981,0.019
Callophrys gryneus,RooseveltNationalForestCO,-0.022,0.028,-0.073,0.199,0.801
Callophrys gryneus,YubaPassCA,0.017,0.025,0.008,1,0
Callophrys sheridanii,BoiseFrontID,0.091,0.125,0.06,1,0
Callophrys sheridanii,DardenellesCA,0.008,0.051,-0.038,0.642,0.358
Callophrys spinetorum,BigBearCA,-0.058,0.008,-0.127,0.044,0.956
Callophrys spinetorum,BoiseFrontID,-0.006,0.049,-0.057,0.412,0.588
Callophrys spinetorum,ChumstickMtn,0.011,0.048,-0.027,0.707,0.293
Callophrys spinetorum,FiveValleysMT,-0.074,-0.011,-0.136,0.011,0.989
Callophrys spinetorum,GilpinCo,0.048,0.071,0.027,1,0
Callophrys spinetorum,MetoliusOR,-0.012,0.038,-0.062,0.322,0.678
Callophrys spinetorum,MortonElrodMemorialMT,-0.041,0.017,-0.111,0.103,0.897
Callophrys spinetorum,MountDiabloCA,-0.077,-0.051,-0.106,0,1
Carterocephalus palaemon,YellowPineID,-0.107,-0.009,-0.2,0.011,0.989
Carterocephalus palaemon,YubaPassCA,-0.021,0.03,-0.069,0.196,0.804
Celastrina ladon,BeniciaCA,-0.081,-0.038,-0.132,0,1
Celastrina ladon,BerkeleyCA,-0.008,-0.003,-0.013,0.001,0.999
Celastrina ladon,BigChicoCreekEcologicalReserve,0.191,0.271,0.131,1,0
Celastrina ladon,BigCreek,0,0.004,-0.004,0.477,0.523
Celastrina ladon,BoiseFrontID,0.087,0.141,0.031,1,0
Celastrina ladon,CalWoodOutdoorLearningCenterCO,0.087,0.151,0.028,0.998,0.002
Celastrina ladon,ChumstickMtn,0.024,0.044,0.004,0.991,0.009
Celastrina ladon,DardenellesCA,0.007,0.03,-0.018,0.71,0.29
Celastrina ladon,GiantSequoiaNationalMonumentSouth,0.127,0.155,0.097,1,0
Celastrina ladon,GilpinCo,-0.021,-0.009,-0.033,0,1
Celastrina ladon,HastingsReservationCA,0.005,0.016,-0.007,0.784,0.216
Celastrina ladon,LavaBedsNationalMonument,0.143,0.233,0.044,0.998,0.002
Celastrina ladon,MarinCo,0.001,0.018,-0.015,0.56,0.44
Celastrina ladon,MetoliusOR,0.043,0.07,0.017,1,0
Celastrina ladon,Monterey,0.059,0.096,0.026,1,0
Celastrina ladon,MountDiabloCA,0.005,0.01,0.001,0.986,0.014
Celastrina ladon,MountLassen,0.036,0.103,-0.032,0.838,0.162
Celastrina ladon,NorthForkKernRiverValleyCA,0.009,0.033,-0.015,0.751,0.249
Celastrina ladon,PasadenaCA,-0.048,0.003,-0.102,0.032,0.968
Celastrina ladon,PinnaclesNationalPark,-0.009,0.008,-0.026,0.139,0.861
Celastrina ladon,PointReyesCA,0.063,0.075,0.053,1,0
Celastrina ladon,PortalAZ,-0.11,-0.07,-0.153,0,1
Celastrina ladon,RamseyCanyonAZ,-0.03,-0.028,-0.032,0,1
Celastrina ladon,SabinoCanyonAZ,-0.09,-0.082,-0.098,0,1
Celastrina ladon,SanBrunoMountainCA,-0.055,-0.029,-0.081,0,1
Celastrina ladon,SanFranciscoCA,0.196,0.219,0.173,1,0
Celastrina ladon,SantaYnezCanyon,-0.007,0.019,-0.033,0.304,0.696
Celastrina ladon,SonomaCo,0.032,0.096,-0.027,0.846,0.154
Celastrina ladon,VashonIslandWA,0.097,0.126,0.068,1,0
Celastrina ladon,WesternWahkiakumCo,0.086,0.119,0.055,1,0
Celastrina ladon,YubaPassCA,-0.02,-0.006,-0.033,0.002,0.998
Celotes nessus,AtascosaHighlandsAZ,0.005,0.03,-0.021,0.654,0.346
Celotes nessus,PatagoniaAZ,-0.046,-0.032,-0.061,0,1
Celotes nessus,RamseyCanyonAZ,-0.015,0.005,-0.036,0.073,0.927
Cercyonis meadii,BryceCanyonUT,-0.075,-0.004,-0.153,0.018,0.982
Cercyonis oetus,BeartoothButteWY,-0.001,0.011,-0.012,0.404,0.596
Cercyonis oetus,BoiseFrontID,-0.092,-0.058,-0.126,0,1
Cercyonis oetus,BryceCanyonUT,-0.034,-0.008,-0.059,0.004,0.996
Cercyonis oetus,CalWoodOutdoorLearningCenterCO,0.244,0.274,0.217,1,0
Cercyonis oetus,ChumstickMtn,-0.075,-0.058,-0.092,0,1
Cercyonis oetus,FiveValleysMT,0.002,0.012,-0.009,0.634,0.366
Cercyonis oetus,GilpinCo,-0.06,-0.053,-0.067,0,1
Cercyonis oetus,LavaBedsNationalMonument,0.321,0.339,0.303,1,0
Cercyonis oetus,MetoliusOR,0.077,0.089,0.065,1,0
Cercyonis oetus,MortonElrodMemorialMT,-0.046,-0.019,-0.072,0,1
Cercyonis oetus,OchocoOR,-0.016,-0.003,-0.029,0.007,0.993
Cercyonis oetus,RooseveltNationalForestCO,-0.081,-0.027,-0.138,0.002,0.998
Cercyonis oetus,SantaFeNM,-0.207,-0.178,-0.238,0,1
Cercyonis oetus,YellowstoneNationalPark,-0.022,0.004,-0.048,0.051,0.949
Cercyonis pegala,BeniciaCA,-0.185,-0.08,-0.297,0,1
Cercyonis pegala,BerkeleyCA,-0.004,0,-0.008,0.042,0.958
Cercyonis pegala,BoiseFrontID,0.031,0.04,0.021,1,0
Cercyonis pegala,ChatfieldNaturePreserveCO,-0.425,-0.306,-0.553,0,1
Cercyonis pegala,ChumstickMtn,0,0.014,-0.013,0.524,0.476
Cercyonis pegala,EugeneOR,0.062,0.07,0.054,1,0
Cercyonis pegala,FiveValleysMT,-0.179,-0.163,-0.194,0,1
Cercyonis pegala,GilpinCo,-0.054,-0.048,-0.06,0,1
Cercyonis pegala,HighLineCanalCO,-0.066,-0.062,-0.071,0,1
Cercyonis pegala,MarinCo,-0.112,-0.106,-0.117,0,1
Cercyonis pegala,MarysPeakOR,0.194,0.313,0.088,1,0
Cercyonis pegala,MetoliusOR,0.166,0.184,0.148,1,0
Cercyonis pegala,MinidokaNationalWildlifeRefugeID,-0.127,-0.053,-0.208,0.001,0.999
Cercyonis pegala,Monterey,-0.24,-0.189,-0.283,0,1
Cercyonis pegala,MortonElrodMemorialMT,0.048,0.062,0.036,1,0
Cercyonis pegala,PointReyesCA,-0.198,-0.168,-0.231,0,1
Cercyonis pegala,SevenDevilsID,-0.088,-0.068,-0.107,0,1
Cercyonis pegala,SonomaCo,0.057,0.063,0.05,1,0
Cercyonis pegala,YubaPassCA,0.078,0.124,0.031,0.999,0.001
Cercyonis sthenele,BigBearCA,-0.046,-0.028,-0.063,0,1
Cercyonis sthenele,BoiseFrontID,0.06,0.078,0.042,1,0
Cercyonis sthenele,MountBadenPowellCA,-0.168,-0.135,-0.2,0,1
Cercyonis sthenele,MountDiabloCA,-0.011,-0.006,-0.017,0,1
Cercyonis sthenele,NorthForkKernRiverValleyCA,-0.092,0,-0.184,0.026,0.974
Chioides catillus,AtascosaHighlandsAZ,-0.1,-0.036,-0.163,0.002,0.998
Chioides catillus,PatagoniaAZ,-0.024,0.032,-0.081,0.205,0.795
Chlosyne acastus,CottonwoodSpringCA,0.144,0.214,0.066,1,0
Chlosyne acastus,JoshuaTreeCA,0.06,0.118,-0.004,0.974,0.026
Chlosyne californica,CottonwoodSpringCA,0.265,0.344,0.184,1,0
Chlosyne californica,JoshuaTreeCA,-0.161,-0.124,-0.199,0,1
Chlosyne cyneas,RamseyCanyonAZ,-0.029,-0.004,-0.054,0.011,0.989
